"Bar/Node/Case,FX (kN),FY (kN),FZ (kN),MY (kNm),MZ (kNm),Length (m)"
" 1/ 1/ 22 (C),507.46,5.25,-8.62,9.49,5.77,3.30"
" 1/ 1/ 23 (C),774.94,8.27,-13.66,15.03,9.10,3.30"
" 1/ 1/ 24 (C),41.32,-73.77,97.22,-206.41,-151.97,3.30"
" 1/ 1/ 25 (C),981.76,110.03,-93.05,182.75,214.74,3.30"
" 1/ 1/ 26 (C),546.90,110.03,97.22,-206.41,214.74,3.30"
" 1/ 1/ 27 (C),476.18,-73.77,-93.05,182.75,-151.97,3.30"
" 1/ 1/ 28 (C),15.79,-99.80,76.24,-164.27,-203.48,3.30"
" 1/ 1/ 29 (C),956.24,84.01,-114.02,224.90,163.23,3.30"
" 1/ 1/ 30 (C),521.37,84.01,76.24,-164.27,163.23,3.30"
" 1/ 1/ 31 (C),450.66,-99.80,-114.02,224.90,-203.48,3.30"
" 1/ 1/ 32 (C),288.51,-31.14,40.14,-89.88,-66.81,3.30"
" 1/ 1/ 33 (C),720.77,53.34,-47.31,88.99,101.74,3.30"
" 1/ 1/ 34 (C),520.90,53.34,40.14,-89.88,101.74,3.30"
" 1/ 1/ 35 (C),488.39,-31.14,-47.31,88.99,-66.81,3.30"
" 1/ 1/ 36 (C),276.78,-43.10,30.50,-70.51,-90.48,3.30"
" 1/ 1/ 37 (C),709.04,41.38,-56.95,108.36,78.07,3.30"
" 1/ 1/ 38 (C),509.16,41.38,30.50,-70.51,78.07,3.30"
" 1/ 1/ 39 (C),476.66,-43.10,-56.95,108.36,-90.48,3.30"
" 1/ 1/ 40 (C),496.68,5.12,-8.40,9.24,5.63,3.30"
" 1/ 17/ 22 (C),494.50,5.25,-8.62,-18.97,-11.55,3.30"
" 1/ 17/ 23 (C),757.45,8.27,-13.66,-30.06,-18.20,3.30"
" 1/ 17/ 24 (C),28.37,-73.77,97.22,114.41,91.47,3.30"
" 1/ 17/ 25 (C),968.81,110.03,-93.05,-124.31,-148.37,3.30"
" 1/ 17/ 26 (C),533.95,110.03,97.22,114.41,-148.37,3.30"
" 1/ 17/ 27 (C),463.23,-73.77,-93.05,-124.31,91.47,3.30"
" 1/ 17/ 28 (C),2.84,-99.80,76.24,87.34,125.85,3.30"
" 1/ 17/ 29 (C),943.28,84.01,-114.02,-151.38,-113.99,3.30"
" 1/ 17/ 30 (C),508.42,84.01,76.24,87.34,-113.99,3.30"
" 1/ 17/ 31 (C),437.70,-99.80,-114.02,-151.38,125.85,3.30"
" 1/ 17/ 32 (C),275.56,-31.14,40.14,42.60,35.96,3.30"
" 1/ 17/ 33 (C),707.82,53.34,-47.31,-67.13,-74.28,3.30"
" 1/ 17/ 34 (C),507.94,53.34,40.14,42.60,-74.28,3.30"
" 1/ 17/ 35 (C),475.44,-31.14,-47.31,-67.13,35.96,3.30"
" 1/ 17/ 36 (C),263.83,-43.10,30.50,30.15,51.76,3.30"
" 1/ 17/ 37 (C),696.09,41.38,-56.95,-79.57,-58.48,3.30"
" 1/ 17/ 38 (C),496.21,41.38,30.50,30.15,-58.48,3.30"
" 1/ 17/ 39 (C),463.71,-43.10,-56.95,-79.57,51.76,3.30"
" 1/ 17/ 40 (C),483.73,5.12,-8.40,-18.48,-11.25,3.30"
" 2/ 2/ 22 (C),941.51,8.73,0.85,-0.94,9.61,3.30"
" 2/ 2/ 23 (C),1459.42,14.02,1.35,-1.49,15.42,3.30"
" 2/ 2/ 24 (C),719.37,-79.15,132.03,-244.70,-165.51,3.30"
" 2/ 2/ 25 (C),1157.24,104.66,-104.83,195.71,201.20,3.30"
" 2/ 2/ 26 (C),1224.95,104.66,132.03,-244.70,201.20,3.30"
