m71,45.43 45.43 45.43 0.00 0.00 0.00,None,,m71,m71,71,-,-,-1e20   1e20
m72,22.84 22.84 22.84 0.00 0.00 0.00,None,,m72,m72,72,-,-,-1e20   1e20
m73,22.84 22.84 22.84 0.00 0.00 0.00,None,,m73,m73,73,-,-,-1e20   1e20
m74,45.43 45.43 45.43 0.00 0.00 0.00,None,,m74,m74,74,-,-,-1e20   1e20
m75,45.43 45.43 45.43 0.00 0.00 0.00,None,,m75,m75,75,-,-,-1e20   1e20
m76,22.84 22.84 22.84 0.00 0.00 0.00,None,,m76,m76,76,-,-,-1e20   1e20
m77,11.58 11.58 11.58 0.00 0.00 0.00,None,,m77,m77,77,-,-,-1e20   1e20
m78,22.96 22.96 22.96 0.00 0.00 0.00,None,,m78,m78,78,-,-,-1e20   1e20
m79,22.96 22.96 22.96 0.00 0.00 0.00,None,,m79,m79,79,-,-,-1e20   1e20
m80,11.58 11.58 11.58 0.00 0.00 0.00,None,,m80,m80,80,-,-,-1e20   1e20
m81,11.61 11.61 11.61 0.00 0.00 0.00,None,,m81,m81,81,-,-,-1e20   1e20
m82,22.73 22.73 22.73 0.00 0.00 0.00,None,,m82,m82,82,-,-,-1e20   1e20
m83,22.73 22.73 22.73 0.00 0.00 0.00,None,,m83,m83,83,-,-,-1e20   1e20
m84,11.61 11.61 11.61 0.00 0.00 0.00,None,,m84,m84,84,-,-,-1e20   1e20
m85,22.72 22.72 22.72 0.00 0.00 0.00,None,,m85,m85,85,-,-,-1e20   1e20
m86,45.02 45.02 45.02 0.00 0.00 0.00,None,,m86,m86,86,-,-,-1e20   1e20
m87,45.02 45.02 45.02 0.00 0.00 0.00,None,,m87,m87,87,-,-,-1e20   1e20
m88,22.72 22.72 22.72 0.00 0.00 0.00,None,,m88,m88,88,-,-,-1e20   1e20
m89,22.72 22.72 22.72 0.00 0.00 0.00,None,,m89,m89,89,-,-,-1e20   1e20
m90,45.02 45.02 45.02 0.00 0.00 0.00,None,,m90,m90,90,-,-,-1e20   1e20
m91,45.02 45.02 45.02 0.00 0.00 0.00,None,,m91,m91,91,-,-,-1e20   1e20
m92,22.72 22.72 22.72 0.00 0.00 0.00,None,,m92,m92,92,-,-,-1e20   1e20
m93,11.61 11.61 11.61 0.00 0.00 0.00,None,,m93,m93,93,-,-,-1e20   1e20
m94,22.73 22.73 22.73 0.00 0.00 0.00,None,,m94,m94,94,-,-,-1e20   1e20
