Bar/Node/Case,FX (kN),FY (kN),FZ (kN),MY (kNm),MZ (kNm),Length (m)
15/88/13,0,0,24.077,-13.155,0,3.725
15/88/14,0,0,18.809,-1.728,0,3.725
15/93/6,0,0,-26.406,-15.973,0,3.725
15/93/7,0,0,-39.728,-23.964,0,3.725
15/93/8,0,0,-29.048,-17.565,0,3.725
15/93/9,0,0,-27.161,-16.428,0,3.725
15/93/13,0,0,-23.207,-11.535,0,3.725
15/93/14,0,0,-28.474,-19.729,0,3.725
17/91/6,0,0,14.523,-4.114,0,2.775
17/91/7,0,0,21.548,-5.996,0,2.775
17/91/8,0,0,15.908,-4.644,0,2.775
17/91/9,0,0,14.919,-4.265,0,2.775
17/91/13,0,0,11.714,-1.179,0,2.775
17/91/14,0,0,16.738,-6.822,0,2.775
17/92/6,0,0,-15.484,-5.447,0,2.775
17/92/7,0,0,-23.177,-8.257,0,2.775
17/92/8,0,0,-16.793,-5.872,0,2.775
17/92/9,0,0,-15.858,-5.569,0,2.775
17/92/13,0,0,-17.715,-9.505,0,2.775
17/92/14,0,0,-12.691,-1.207,0,2.775
19/90/6,0,0,33.702,-38.895,0,3.85
19/90/7,0,0,50.977,-59.077,0,3.85
19/90/8,0,0,37.084,-42.798,0,3.85
19/90/9,0,0,34.668,-40.01,0,3.85
19/90/13,0,0,31.688,-35.559,0,3.85
19/90/14,0,0,34.266,-40.558,0,3.85
19/91/6,0,0,-17.309,-7.339,0,3.85
19/91/7,0,0,-25.994,-10.986,0,3.85
19/91/8,0,0,-19.109,-8.197,0,3.85
19/91/9,0,0,-17.823,-7.584,0,3.85
19/91/13,0,0,-18.212,-9.619,0,3.85
19/91/14,0,0,-15.634,-4.693,0,3.85
21/89/6,0,0,2.369,28.906,0,3.7
21/89/7,0,0,3.4,43.73,0,3.7
21/89/8,0,0,2.848,31.144,0,3.7
21/89/9,0,0,2.506,29.546,0,3.7
21/89/13,0,0,0.779,31.145,0,3.7
21/89/14,0,0,3.753,25.709,0,3.7
21/90/6,0,0,-45.426,-50.748,0,3.7
21/90/7,0,0,-68.618,-76.922,0,3.7
21/90/8,0,0,-49.738,-55.604,0,3.7
21/90/9,0,0,-46.658,-52.136,0,3.7
21/90/13,0,0,-45.989,-52.492,0,3.7
21/90/14,0,0,-43.015,-46.924,0,3.7
23/88/6,0,0,41.227,-32.879,0,3.675
23/88/7,0,0,62.309,-49.904,0,3.675
23/88/8,0,0,45.137,-35.971,0,3.675
23/88/9,0,0,42.344,-33.762,0,3.675
23/88/13,0,0,38.629,-28.333,0,3.675
23/88/14,0,0,42.15,-36.099,0,3.675
23/89/6,0,0,-6.036,31.785,0,3.675
23/89/7,0,0,-8.89,48.253,0,3.675
23/89/8,0,0,-6.853,34.375,0,3.675
23/89/9,0,0,-6.269,32.525,0,3.675
23/89/13,0,0,-7.621,28.642,0,3.675
23/89/14,0,0,-4.1,33.817,0,3.675
26/86/6,0,0,-28.179,120.211,0,3.775
26/86/7,0,0,-42.612,181.524,0,3.775
26/86/8,0,0,-30.219,130.268,0,3.775
26/86/9,0,0,-28.762,123.084,0,3.775
26/86/13,0,0,-25.307,114.526,0,3.775
26/86/14,0,0,-30.178,121.586,0,3.775
26/87/6,0,0,-77.445,-79.155,0,3.775
26/87/7,0,0,-116.889,-119.534,0,3.775
26/87/8,0,0,-84.45,-86.168,0,3.775
26/87/9,0,0,-79.446,-81.159,0,3.775
26/87/13,0,0,-73.508,-71.987,0,3.775
26/87/14,0,0,-78.38,-83.317,0,3.775
27/79/6,0,0,19.826,-4.773,0,3.525
27/79/7,0,0,29.751,-7.052,0,3.525
27/79/8,0,0,21.835,-5.367,0,3.525
27/79/9,0,0,20.4,-4.943,0,3.525
27/79/13,0,0,16.19,-0.018,0,3.525
27/79/14,0,0,22.601,-9.272,0,3.525
27/87/6,0,0,-24.305,-12.667,0,3.525
27/87/7,0,0,-36.629,-19.174,0,3.525
27/87/8,0,0,-26.645,-13.846,0,3.525
27/87/9,0,0,-24.974,-13.004,0,3.525
27/87/13,0,0,-27.009,-19.087,0,3.525
27/87/14,0,0,-20.598,-5.742,0,3.525
29/85/6,0,0,39.883,57.511,0,2.15
29/85/7,0,0,59.572,87.63,0,2.15
29/85/8,0,0,42.639,63.539,0,2.15
29/85/9,0,0,40.671,59.234,0,2.15
29/85/13,0,0,42.045,55.302,0,2.15
29/85/14,0,0,36.54,57.137,0,2.15
29/86/6,0,0,19.692,121.555,0,2.15
29/86/7,0,0,29.783,183.687,0,2.15
29/86/8,0,0,20.83,131.769,0,2.15
29/86/9,0,0,20.017,124.473,0,2.15
