48,77,78,0
51,76,77,0
52,74,76,0
1,98,99,0
4,97,98,0
11,94,95,0
13,93,94,0
33,76,85,0
41,68,81,0
45,78,79,0
59,71,72,0
62,70,71,0
64,68,69,0
66,67,68,0
70,65,66,0
73,64,65,0
80,61,62,0
82,60,61,0
100,43,52,0
107,34,48,0
109,45,46,0
111,44,45,0
113,43,44,0
114,41,43,0
120,38,39,0
122,37,38,0
125,34,35,0
127,33,34,0
129,31,32,0
131,30,31,0
139,27,28,0
140,26,27,0
158,175,184,0
166,167,180,0
170,177,178,0
173,176,177,0
176,175,176,0
177,173,175,0
185,170,171,0
188,169,170,0
190,167,168,0
192,166,167,0
196,164,165,0
199,163,164,0
207,160,161,0
241,144,145,0
209,159,160,0
229,142,151,0
237,134,147,0
244,143,144,0
247,142,143,0
248,140,142,0
255,137,138,0
258,136,137,0
260,134,135,0
262,133,134,0
267,131,132,0
269,130,131,0
277,127,128,0
278,126,127,0
298,109,118,0
307,101,114,0
311,111,112,0
314,110,111,0
316,109,110,0
317,107,109,0
326,104,105,0
327,103,104,0
330,101,102,0
332,100,101,0
2,92,99,0
15,88,93,0
17,91,92,0
19,90,91,0
21,89,90,0
23,88,89,0
26,86,87,0
27,79,87,0
29,85,86,0
32,84,85,0
34,83,84,0
36,82,83,0
38,81,82,0
40,80,81,0
43,67,80,0
46,72,79,0
60,66,72,0
68,60,67,0
71,59,66,0
84,55,60,0
86,58,59,0
88,57,58,0
90,56,57,0
92,55,56,0
95,53,54,0
96,46,54,0
97,52,53,0
99,51,52,0
101,50,51,0
102,49,50,0
104,48,49,0
106,47,48,0
108,33,47,0
110,39,46,0
121,36,39,0
124,32,36,0
128,26,33,0
130,25,32,0
142,20,26,0
143,24,25,0
145,23,24,0
147,22,23,0
148,21,22,0
150,20,21,0
151,185,186,0
152,178,186,0
154,184,185,0
157,183,184,0
159,182,183,0
161,181,182,0
163,180,181,0
165,179,180,0
168,166,179,0
171,171,178,0
186,165,171,0
194,159,166,0
197,158,165,0
211,154,159,0
213,157,158,0
215,156,157,0
217,155,156,0
219,154,155,0
222,152,153,0
223,145,153,0
225,151,152,0
228,150,151,0
230,149,150,0
232,148,149,0
234,147,148,0
236,146,147,0
239,133,146,0
242,138,145,0
256,132,138,0
264,126,133,0
268,125,132,0
281,121,126,0
283,124,125,0
285,123,124,0
287,122,123,0
289,121,122,0
292,119,120,0
293,112,120,0
295,118,119,0
297,117,118,0
300,116,117,0
302,115,116,0
303,114,115,0
306,113,114,0
309,100,113,0
312,105,112,0
324,99,105,0
333,93,100,0
49,71,78,0
5,91,98,0
9,90,96,0
14,89,94,0
30,77,86,0
39,73,82,0
74,58,65,0
78,57,63,0
83,56,61,0
98,44,53,0
105,40,49,0
112,38,45,0
132,24,31,0
137,23,29,0
141,21,27,0
155,176,185,0
164,172,181,0
174,170,177,0
200,157,164,0
205,156,162,0
210,155,160,0
226,143,152,0
235,139,148,0
245,137,144,0
270,124,131,0
275,123,129,0
279,122,127,0
296,110,119,0
304,106,115,0
315,104,111,0
53,74,75,0
54,70,75,0
56,73,74,0
57,69,73,0
6,96,97,0
8,95,96,0
63,64,70,0
65,62,69,0
75,63,64,0
77,62,63,0
115,41,42,0
116,37,42,0
117,40,41,0
118,35,40,0
123,30,37,0
126,28,35,0
134,29,30,0
136,28,29,0
178,173,174,0
179,169,174,0
182,172,173,0
183,168,172,0
189,163,169,0
191,161,168,0
201,162,163,0
204,161,162,0
249,140,141,0
250,136,141,0
252,139,140,0
253,135,139,0
259,130,136,0
261,128,135,0
272,129,130,0
274,128,129,0
320,103,108,0
319,107,108,0
321,106,107,0
323,102,106,0
328,97,103,0
329,95,102,0
50,45,78,1
3,66,99,1
16,60,93,1
18,59,92,1
20,58,91,1
22,57,90,1
24,56,89,1
25,55,88,1
28,54,87,1
31,53,86,1
35,51,84,1
37,50,83,1
42,48,81,1
44,47,80,1
47,46,79,1
61,39,72,1
67,34,68,1
69,33,67,1
72,32,66,1
85,26,60,1
87,25,59,1
89,24,58,1
91,23,57,1
93,21,56,1
94,20,55,1
103,17,50,1
144,4,24,1
146,3,23,1
149,2,22,1
153,153,186,1
156,152,185,1
160,150,183,1
162,149,182,1
167,147,180,1
169,146,179,1
172,145,178,1
175,144,177,1
187,138,171,1
193,134,167,1
195,133,166,1
198,132,165,1
212,126,159,1
246,111,144,1
214,125,158,1
216,124,157,1
218,123,156,1
220,122,155,1
221,121,154,1
224,120,153,1
227,119,152,1
231,117,150,1
233,116,149,1
238,114,147,1
240,113,146,1
243,112,145,1
257,105,138,1
263,101,134,1
265,100,133,1
266,99,132,1
280,93,126,1
282,92,125,1
284,91,124,1
286,90,123,1
288,89,122,1
291,87,120,1
290,88,121,1
294,86,119,1
299,84,117,1
301,83,116,1
305,81,114,1
308,80,113,1
310,79,112,1
313,78,111,1
325,72,105,1
331,68,101,1
335,47,16,1
334,67,100,1
337,20,1,1
336,33,11,1
339,25,5,1
338,26,6,1
340,32,10,1
342,36,12,1
344,54,19,1
343,46,15,1
361,51,18,1
55,42,75,1
7,64,97,1
10,63,96,1
12,62,95,1
58,40,73,1
76,30,64,1
79,29,63,1
81,28,62,1
119,13,40,1
133,9,30,1
135,8,29,1
138,7,28,1
180,141,174,1
184,139,172,1
202,130,163,1
206,129,162,1
208,128,161,1
251,108,141,1
254,106,139,1
271,97,130,1
273,96,129,1
276,95,128,1
318,75,108,1
322,73,106,1
362,14,42,1
