Bar/Node/Case,FX (kN),FY (kN),FZ (kN),MX (kNm),MZ (kNm),Length (m)
 23/ 57/ 7 (C),370.98,6.25,10.46,-0.33,8.65,2.8
 23/ 90/ 6 (C),547.01,10.17,15.91,-0.51,-14.39,2.8
 23/ 90/ 7 (C),359.78,6.25,10.46,-0.33,-8.85,2.8
 24/ 88/ 6 (C),0,0,73.44,0.97,0,3.675
 24/ 88/ 7 (C),0,0,47.9,0.54,0,3.675
 24/ 89/ 6 (C),0,0,-2.01,0.97,0,3.675
 24/ 89/ 7 (C),0,0,-1.2,0.54,0,3.675
 25/ 56/ 6 (C),254.16,8.65,-3.84,-0.51,11.57,2.8
 25/ 56/ 7 (C),169.29,5.14,-2.51,-0.33,6.85,2.8
 25/ 89/ 6 (C),239.04,8.65,-3.84,-0.51,-12.65,2.8
 25/ 89/ 7 (C),158.09,5.14,-2.51,-0.33,-7.55,2.8
 26/ 55/ 6 (C),365.43,8.49,-27.55,-0.51,11.65,2.8
 26/ 55/ 7 (C),244.13,5.42,-17.91,-0.33,7.44,2.8
 26/ 88/ 6 (C),350.31,8.49,-27.55,-0.51,-12.13,2.8
 26/ 88/ 7 (C),232.93,5.42,-17.91,-0.33,-7.75,2.8
 27/ 86/ 6 (C),0,0,-43.72,0.13,0,3.775
 27/ 86/ 7 (C),0,0,-29.08,-0.02,0,3.775
 27/ 87/ 6 (C),0,0,-122.41,0.13,0,3.775
 27/ 87/ 7 (C),0,0,-80.23,-0.02,0,3.775
 28/ 79/ 6 (C),0,0,25.22,1.4,0,3.525
 28/ 79/ 7 (C),0,0,16.41,0.98,0,3.525
 28/ 87/ 6 (C),0,0,-45.17,1.4,0,3.525
 28/ 87/ 7 (C),0,0,-29.48,0.98,0,3.525
 29/ 54/ 6 (C),693.84,-14.51,63.13,-0.51,-20.98,2.8
 29/ 54/ 7 (C),461.18,-9.39,41.39,-0.33,-13.58,2.8
 29/ 87/ 6 (C),678.72,-14.51,63.13,-0.51,19.64,2.8
 29/ 87/ 7 (C),449.98,-9.39,41.39,-0.33,12.72,2.8
 30/ 85/ 6 (C),0,0,67.39,16.36,0,2.15
 30/ 85/ 7 (C),0,0,44.81,10.4,0,2.15
 30/ 86/ 6 (C),0,0,35.55,16.36,0,2.15
 30/ 86/ 7 (C),0,0,23.54,10.4,0,2.15
 31/ 77/ 6 (C),0,0,53.23,1.77,0,3.525
 31/ 77/ 7 (C),0,0,34.26,1.31,0,3.525
 31/ 86/ 6 (C),0,0,-56.67,1.77,0,3.525
 31/ 86/ 7 (C),0,0,-35.6,1.31,0,3.525
 32/ 53/ 6 (C),16.99,-15.3,-1.34,-0.51,-23.8,2.8
 32/ 53/ 7 (C),13.25,-9.28,-0.86,-0.33,-14.46,2.8
 32/ 86/ 6 (C),1.87,-15.3,-1.34,-0.51,19.03,2.8
 32/ 86/ 7 (C),2.05,-9.28,-0.86,-0.33,11.51,2.8
 33/ 84/ 6 (C),0,0,168.5,-19.4,0,1.825
 33/ 84/ 7 (C),0,0,110.26,-12.16,0,1.825
 33/ 85/ 6 (C),0,0,143.69,-19.4,0,1.825
 33/ 85/ 7 (C),0,0,93.56,-12.16,0,1.825
 34/ 76/ 6 (C),0,0,31.37,-25.54,0,3.525
 34/ 76/ 7 (C),0,0,19.75,-16.63,0,3.525
 34/ 85/ 6 (C),0,0,-76.29,-25.54,0,3.525
