"Bar/Node/Case,FX (kN),FY (kN),FZ (kN),MY (kNm),MZ (kNm),Length (m)"
" 1/ 1/ 8 (C),549.89,7.60,-12.57,11.73,7.09,2.80"
" 1/ 1/ 9 (C),770.87,10.73,-17.76,16.58,10.02,2.80"
" 1/ 1/ 10 (C),150.75,-47.87,74.29,-145.27,-90.67,2.80"
" 1/ 1/ 11 (C),337.28,-18.42,28.24,-61.26,-38.32,2.80"
" 1/ 17/ 8 (C),538.90,7.60,-12.57,-23.46,-14.19,2.80"
" 1/ 17/ 9 (C),756.03,10.73,-17.76,-33.16,-20.03,2.80"
" 1/ 17/ 10 (C),139.76,-47.87,74.29,62.74,43.38,2.80"
" 1/ 17/ 11 (C),326.29,-18.42,28.24,17.82,13.24,2.80"
" 2/ 2/ 8 (C),1033.68,12.85,1.22,-1.14,11.99,2.80"
" 2/ 2/ 9 (C),1455.40,18.23,1.72,-1.61,17.01,2.80"
" 2/ 2/ 10 (C),781.59,-50.11,111.22,-179.74,-98.14,2.80"
" 2/ 2/ 11 (C),856.72,-17.07,51.69,-83.15,-39.54,2.80"
" 2/ 18/ 8 (C),1022.69,12.85,1.22,2.28,-23.98,2.80"
" 2/ 18/ 9 (C),1440.57,18.23,1.72,3.22,-34.03,2.80"
" 2/ 18/ 10 (C),770.60,-50.11,111.22,131.68,42.15,2.80"
" 2/ 18/ 11 (C),845.73,-17.07,51.69,61.59,8.24,2.80"
" 3/ 3/ 8 (C),1033.68,12.85,-1.22,1.14,11.99,2.80"
" 3/ 3/ 9 (C),1455.40,18.23,-1.72,1.61,17.01,2.80"
" 3/ 3/ 10 (C),704.45,-56.54,109.11,-177.77,-109.55,2.80"
" 3/ 3/ 11 (C),821.27,-20.02,49.58,-81.18,-44.78,2.80"
" 3/ 19/ 8 (C),1022.69,12.85,-1.22,-2.28,-23.98,2.80"
" 3/ 19/ 9 (C),1440.57,18.23,-1.72,-3.22,-34.03,2.80"
" 3/ 19/ 10 (C),693.46,-56.54,109.11,127.74,48.77,2.80"
" 3/ 19/ 11 (C),810.28,-20.02,49.58,57.65,11.28,2.80"
" 4/ 4/ 8 (C),549.89,7.60,12.57,-11.73,7.09,2.80"
" 4/ 4/ 9 (C),770.87,10.73,17.76,-16.58,10.02,2.80"
" 4/ 4/ 10 (C),485.91,-67.57,96.14,-165.67,-125.23,2.80"
" 4/ 4/ 11 (C),491.33,-27.47,50.09,-81.66,-54.21,2.80"
" 4/ 20/ 8 (C),538.90,7.60,12.57,23.46,-14.19,2.80"
" 4/ 20/ 9 (C),756.03,10.73,17.76,33.16,-20.03,2.80"
" 4/ 20/ 10 (C),474.92,-67.57,96.14,103.53,63.95,2.80"
" 4/ 20/ 11 (C),480.34,-27.47,50.09,58.61,22.70,2.80"
" 5/ 5/ 8 (C),1000.35,-0.59,-21.17,19.76,-0.55,2.80"
" 5/ 5/ 9 (C),1408.90,-0.83,-30.06,28.05,-0.77,2.80"
" 5/ 5/ 10 (C),731.95,-70.78,61.77,-129.09,-112.05,2.80"
" 5/ 5/ 11 (C),817.37,-32.81,18.59,-50.19,-51.76,2.80"
" 5/ 21/ 8 (C),989.36,-0.59,-21.17,-39.51,1.10,2.80"
" 5/ 21/ 9 (C),1394.06,-0.83,-30.06,-56.10,1.54,2.80"
" 5/ 21/ 10 (C),720.96,-70.78,61.77,43.86,86.15,2.80"
" 5/ 21/ 11 (C),806.38,-32.81,18.59,1.87,40.11,2.80"
" 6/ 6/ 8 (C),1889.88,-0.86,1.89,-1.77,-0.80,2.80"
" 6/ 6/ 9 (C),2672.78,-1.21,2.69,-2.51,-1.13,2.80"
" 6/ 6/ 10 (C),1716.53,-79.35,105.11,-169.54,-125.44,2.80"
" 6/ 6/ 11 (C),1686.51,-36.87,49.18,-78.74,-58.03,2.80"
" 6/ 22/ 8 (C),1878.89,-0.86,1.89,3.54,1.60,2.80"
" 6/ 22/ 9 (C),2657.94,-1.21,2.69,5.02,2.27,2.80"
" 6/ 22/ 10 (C),1705.54,-79.35,105.11,124.76,96.74,2.80"
" 6/ 22/ 11 (C),1675.52,-36.87,49.18,58.98,45.20,2.80"
" 7/ 7/ 8 (C),1889.88,-0.86,-1.89,1.77,-0.80,2.80"
" 7/ 7/ 9 (C),2672.78,-1.21,-2.69,2.51,-1.13,2.80"
" 7/ 7/ 10 (C),1662.95,-87.61,101.87,-166.52,-138.54,2.80"
" 7/ 7/ 11 (C),1661.88,-40.66,45.95,-75.72,-64.05,2.80"
" 7/ 23/ 8 (C),1878.89,-0.86,-1.89,-3.54,1.60,2.80"
" 7/ 23/ 9 (C),2657.94,-1.21,-2.69,-5.02,2.27,2.80"
" 7/ 23/ 10 (C),1651.96,-87.61,101.87,118.72,106.76,2.80"
" 7/ 23/ 11 (C),1650.89,-40.66,45.95,52.94,49.81,2.80"
" 8/ 8/ 8 (C),1000.35,-0.59,21.17,-19.76,-0.55,2.80"
" 8/ 8/ 9 (C),1408.90,-0.83,30.06,-28.05,-0.77,2.80"
" 8/ 8/ 10 (C),1105.63,-95.73,98.02,-162.93,-151.52,2.80"
" 8/ 8/ 11 (C),989.12,-44.28,54.85,-84.03,-69.90,2.80"
" 8/ 24/ 8 (C),989.36,-0.59,21.17,39.51,1.10,2.80"
" 8/ 24/ 9 (C),1394.06,-0.83,30.06,56.10,1.54,2.80"
" 8/ 24/ 10 (C),1094.64,-95.73,98.02,111.54,116.53,2.80"
" 8/ 24/ 11 (C),978.13,-44.28,54.85,69.55,54.08,2.80"
" 9/ 9/ 8 (C),1000.35,0.59,-21.17,19.76,0.55,2.80"
