Rigid Diaphragm,17,X-Y plane,   18   19   20   21   22   23   24   25   26   27   28   29   30   31   32
Rigid Diaphragm,33,X-Y plane,   34   35   36   37   38   39   40   41   42   43   44   45   46   47   48
Rigid Diaphragm,49,X-Y plane,   50   51   52   53   54   55   56   57   58   59   60   61   62   63   64
Rigid Diaphragm,65,X-Y plane,   66   67   68   69   70   71   72   73   74   75   76   77   78   79   80
Rigid Diaphragm,81,X-Y plane,   82   83   84   85   86   87   88   89   90   91   92   93   94   95   96
