Column1,Column1,150,16.67,None,0.00
Column2,Column2,150,16.67,None,0.00
Column3,Column3,150,16.67,None,0.00
Column4,Column4,150,16.67,None,0.00
Column5,Column5,150,16.67,None,0.00
Column6,Column6,150,16.67,None,0.00
Column7,Column7,150,16.67,None,0.00
Column8,Column8,150,16.67,None,0.00
Column9,Column9,150,16.67,None,0.00
Column10,Column10,150,16.67,None,0.00
Column11,Column11,150,16.67,None,0.00
Column12,Column12,150,16.67,None,0.00
Column13,Column13,150,16.67,None,0.00
Column14,Column14,150,16.67,None,0.00
Column15,Column15,150,16.67,None,0.00
Column16,Column16,150,16.67,None,0.00
Column17,Column17,150,16.67,None,0.00
Column18,Column18,150,16.67,None,0.00
Column19,Column19,150,16.67,None,0.00
Column20,Column20,150,16.67,None,0.00
Column21,Column21,150,16.67,None,0.00
Column22,Column22,150,16.67,None,0.00
Column23,Column23,150,16.67,None,0.00
Column24,Column24,150,16.67,None,0.00
Column25,Column25,150,16.67,None,0.00
Column26,Column26,150,16.67,None,0.00
Column27,Column27,150,16.67,None,0.00
Column28,Column28,150,16.67,None,0.00
Column29,Column29,150,16.67,None,0.00
Column30,Column30,150,16.67,None,0.00
Column31,Column31,150,16.67,None,0.00
Column32,Column32,150,16.67,None,0.00
Column33,Column33,150,16.67,None,0.00
Column34,Column34,150,16.67,None,0.00
Column35,Column35,150,16.67,None,0.00
Column36,Column36,150,16.67,None,0.00
Column37,Column37,150,16.67,None,0.00
Column38,Column38,150,16.67,None,0.00
Column39,Column39,150,16.67,None,0.00
Column40,Column40,150,16.67,None,0.00
Column41,Column41,150,16.67,None,0.00
Column42,Column42,150,16.67,None,0.00
Column43,Column43,150,16.67,None,0.00
Column44,Column44,150,16.67,None,0.00
Column45,Column45,150,16.67,None,0.00
Column46,Column46,150,16.67,None,0.00
Column47,Column47,150,16.67,None,0.00
Column48,Column48,150,16.67,None,0.00
Column49,Column49,150,16.67,None,0.00
Column50,Column50,150,16.67,None,0.00
Column51,Column51,150,16.67,None,0.00
Column52,Column52,150,16.67,None,0.00
Column53,Column53,150,16.67,None,0.00
Column54,Column54,150,16.67,None,0.00
Column55,Column55,150,16.67,None,0.00
Column56,Column56,150,16.67,None,0.00
Column57,Column57,150,16.67,None,0.00
