elemConnectivity1,elemConnectivity2,elemConnectivity3,elemConnectivity4,elemConnectivity5,elemConnectivity6
61,Col1,39   72   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
62,Beam5,70   71   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
63,Beam5,64   70   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
64,Beam2,68   69   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
65,Beam5,62   69   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
66,Beam2,67   68   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
67,Col2,34   68   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
68,Beam2,60   67   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
69,Col1,33   67   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
70,Beam2,65   66   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
71,Beam2,59   66   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
72,Col1,32   66   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
73,Beam2,64   65   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
74,Beam2,58   65   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
75,Beam2,63   64   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
76,Col6,30   64   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
77,Beam2,62   63   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
78,Beam2,57   63   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
79,Col1,29   63   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
80,Beam4,61   62   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
81,Col6,28   62   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
82,Beam4,60   61   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
83,Beam2,56   61   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
84,Beam2,55   60   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
85,Col1,26   60   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
86,Beam2,58   59   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
87,Col1,25   59   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
88,Beam2,57   58   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
89,Col1,24   58   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
90,Beam2,56   57   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
91,Col1,23   57   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
92,Beam2,55   56   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
93,Col1,21   56   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
94,Col1,20   55   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
95,Beam2,53   54   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
96,Beam2,46   54   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
97,Beam2,52   53   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
