elemConnectivity1,elemConnectivity2,elemConnectivity3,elemConnectivity4,elemConnectivity5,elemConnectivity6
266,Beam2,125   132   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
267,Beam2,130   131   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
268,Beam2,124   131   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
269,Col5,97   130   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
270,Beam2,129   130   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
271,Col1,96   129   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
272,Beam2,128   129   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
273,Beam2,123   129   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
274,Col5,95   128   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
275,Beam4,127   128   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
276,Beam4,126   127   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
277,Beam2,122   127   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
278,Col1,93   126   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
279,Beam2,121   126   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
280,Col1,92   125   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
281,Beam2,124   125   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
282,Col1,91   124   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
283,Beam2,123   124   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
284,Col1,90   123   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
285,Beam2,122   123   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
286,Col1,89   122   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
287,Beam2,121   122   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
288,Col1,88   121   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
289,Col1,87   120   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
290,Beam2,119   120   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
291,Beam2,112   120   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
292,Col2,86   119   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
293,Beam2,118   119   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
294,Beam2,110   119   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
295,Beam2,117   118   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
296,Beam5,109   118   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
297,Col1,84   117   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
298,Beam5,116   117   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
299,Col5,83   116   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
300,Beam2,115   116   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
301,Beam2,114   115   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
302,Beam2,106   115   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
303,Col2,81   114   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
304,Beam2,113   114   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
305,Beam2,101   114   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
306,Col1,80   113   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
307,Beam2,100   113   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
308,Col1,79   112   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
309,Beam2,112   111   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
310,Beam2,112   105   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
311,Col3,78   111   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
312,Beam2,111   110   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
313,Beam2,104   111   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
314,Beam2,110   109   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
315,Beam5,109   107   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
316,Col5,75   108   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
317,Beam5,107   108   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
318,Beam5,103   108   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
319,Beam5,106   107   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
320,Col2,73   106   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
321,Beam5,102   106   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
322,Beam2,99   105   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
323,Col1,72   105   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
324,Beam5,104   105   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
325,Beam5,103   104   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
326,Beam5,97   103   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
327,Beam5,95   102   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
328,Beam2,101   102   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
329,Col2,68   101   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
330,Beam2,100   101   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
331,Beam2,100   93   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
332,Col1,67   100   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
333,Col1,16   47   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
334,Col1,11   33   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
335,Col1,1   20   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
336,Col1,6   26   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
337,Col1,5   25   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
338,Col1,10   32   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
340,Col2,15   46   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
341,Col1,19   54   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
342,Col2,18   51   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
343,Col8,14   42   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
344,Col1,12   36   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
