12,4,0.000452389,,,,,
12,8,0.000904779,,,,,
12,12,0.001357168,,,,,
12,16,0.001809557,,,,,
12,20,0.002261947,,,,,
12,24,0.002714336,,,,,
16,4,0.000804248,,,,,
16,8,0.001608495,,,,,
16,12,0.002412743,,,,,
16,16,0.003216991,,,,,
16,20,0.004021239,,,,,
16,24,0.004825486,,,,,
20,4,0.001256637,,,,,
20,8,0.002513274,,,,,
20,12,0.003769911,,,,,
20,16,0.005026548,,,,,
20,20,0.006283185,,,,,
20,24,0.007539822,,,,,
25,4,0.001963495,,,,,
25,8,0.003926991,,,,,
25,12,0.005890486,,,,,
25,16,0.007853982,,,,,
25,20,0.009817477,,,,,
25,24,0.011780972,,,,,
32,4,0.003216991,,,,,
32,8,0.006433982,,,,,
32,12,0.009650973,,,,,
32,16,0.012867964,,,,,
32,20,0.016084954,,,,,
32,24,0.019301945,,,,,
13.1,16,0.002161416,4,16,12,12,13.11487705
13.5,12,0.001709026,4,16,8,12,13.46600658
14.1,8,0.001256637,4,16,4,12,14.14213562
17.1,16,0.00366938,4,20,12,16,17.08800749
17.4,12,0.002865133,4,20,8,16,17.43559577
18.1,8,0.002060885,4,20,4,16,18.11077028
21.4,16,0.005733407,4,25,12,20,21.36000936
21.8,12,0.00447677,4,25,8,20,21.79449472
22.6,8,0.003220132,4,25,4,20,22.63846285
26.9,16,0.009107477,4,32,12,25,26.92118125
27.5,12,0.007143982,4,32,8,25,27.5317998
28.7,8,0.005180486,4,32,4,25,28.71410803
