0.005,0.004
0.01,0.009
0.015,0.014
0.02,0.019
0.025,0.024
0.03,0.029
0.035,0.035
0.04,0.04
0.045,0.045
0.05,0.051
0.055,0.056
0.06,0.061
0.065,0.067
0.07,0.072
0.075,0.078
0.08,0.083
0.085,0.089
0.09,0.094
0.095,0.1
0.1,0.106
0.105,0.111
0.11,0.117
0.115,0.122
0.12,0.128
0.125,0.133
0.13,0.139
0.135,0.144
0.14,0.15
0.145,0.156
0.15,0.161
0.155,0.167
0.16,0.172
0.165,0.178
0.17,0.183
0.175,0.189
0.18,0.194
0.185,0.2
0.19,0.206
0.195,0.211
0.2,0.217
0.205,0.222
0.21,0.228
0.215,0.234
0.22,0.239
0.225,0.245
0.23,0.25
0.235,0.256
0.24,0.261
0.245,0.267
0.25,0.273
0.255,0.278
0.26,0.284
0.265,0.289
0.27,0.295
0.275,0.3
0.28,0.306
0.285,0.312
0.29,0.317
0.295,0.323
0.3,0.328
0.31,0.339
0.32,0.351
0.33,0.362
0.34,0.373
0.35,0.384
0.36,0.395
0.37,0.406
0.38,0.417
0.39,0.428
0.4,0.44
0.41,0.451
0.42,0.462
0.43,0.473
0.44,0.484
0.45,0.495
0.46,0.507
0.47,0.517
0.48,0.529
0.49,0.539
0.5,0.551
0.51,0.562
0.52,0.573
0.53,0.585
0.54,0.596
0.55,0.607
0.56,0.617
0.57,0.628
0.58,0.64
0.59,0.651
0.6,0.662
0.61,0.673
0.62,0.685
0.63,0.696
0.64,0.707
0.65,0.718
0.66,0.729
0.67,0.74
0.68,0.752
0.69,0.763
0.7,0.773
