1,0,0,-0.5,structural
2,7,0,-0.5,structural
3,14,0,-0.5,structural
4,21,0,-0.5,structural
5,0,6,-0.5,structural
6,7,6,-0.5,structural
7,14,6,-0.5,structural
8,21,6,-0.5,structural
9,0,12,-0.5,structural
10,7,12,-0.5,structural
11,14,12,-0.5,structural
12,21,12,-0.5,structural
13,0,18,-0.5,structural
14,7,18,-0.5,structural
15,14,18,-0.5,structural
16,21,18,-0.5,structural
17,0,0,2.8,structural
18,7,0,2.8,structural
19,14,0,2.8,structural
20,21,0,2.8,structural
21,0,6,2.8,structural
22,7,6,2.8,structural
23,14,6,2.8,structural
24,21,6,2.8,structural
25,0,12,2.8,structural
26,7,12,2.8,structural
27,14,12,2.8,structural
28,21,12,2.8,structural
29,0,18,2.8,structural
30,7,18,2.8,structural
31,14,18,2.8,structural
32,21,18,2.8,structural
33,0,0,5.6,structural
34,7,0,5.6,structural
35,14,0,5.6,structural
36,21,0,5.6,structural
37,0,6,5.6,structural
38,7,6,5.6,structural
39,14,6,5.6,structural
40,21,6,5.6,structural
41,0,12,5.6,structural
42,7,12,5.6,structural
43,14,12,5.6,structural
44,21,12,5.6,structural
45,0,18,5.6,structural
46,7,18,5.6,structural
47,14,18,5.6,structural
48,21,18,5.6,structural
49,0,0,8.4,structural
50,7,0,8.4,structural
51,14,0,8.4,structural
52,21,0,8.4,structural
53,0,6,8.4,structural
54,7,6,8.4,structural
55,14,6,8.4,structural
56,21,6,8.4,structural
57,0,12,8.4,structural
58,7,12,8.4,structural
59,14,12,8.4,structural
60,21,12,8.4,structural
61,0,18,8.4,structural
62,7,18,8.4,structural
63,14,18,8.4,structural
64,21,18,8.4,structural
65,0,0,11.2,structural
66,7,0,11.2,structural
67,14,0,11.2,structural
68,21,0,11.2,structural
69,0,6,11.2,structural
70,7,6,11.2,structural
71,14,6,11.2,structural
72,21,6,11.2,structural
73,0,12,11.2,structural
74,7,12,11.2,structural
75,14,12,11.2,structural
76,21,12,11.2,structural
77,0,18,11.2,structural
78,7,18,11.2,structural
79,14,18,11.2,structural
80,21,18,11.2,structural
81,0,0,14,structural
82,7,0,14,structural
83,14,0,14,structural
84,21,0,14,structural
85,0,6,14,structural
86,7,6,14,structural
87,14,6,14,structural
88,21,6,14,structural
89,0,12,14,structural
90,7,12,14,structural
91,14,12,14,structural
92,21,12,14,structural
93,0,18,14,structural
94,7,18,14,structural
95,14,18,14,structural
96,21,18,14,structural
97,0,0,16.8,structural
98,7,0,16.8,structural
99,14,0,16.8,structural
100,21,0,16.8,structural
101,0,6,16.8,structural
102,7,6,16.8,structural
103,14,6,16.8,structural
104,21,6,16.8,structural
105,0,12,16.8,structural
106,7,12,16.8,structural
107,14,12,16.8,structural
108,21,12,16.8,structural
109,0,18,16.8,structural
110,7,18,16.8,structural
111,14,18,16.8,structural
112,21,18,16.8,structural
113,0,0,19.6,structural
114,7,0,19.6,structural
115,14,0,19.6,structural
116,21,0,19.6,structural
117,0,6,19.6,structural
118,7,6,19.6,structural
119,14,6,19.6,structural
120,21,6,19.6,structural
121,0,12,19.6,structural
122,7,12,19.6,structural
123,14,12,19.6,structural
124,21,12,19.6,structural
125,0,18,19.6,structural
126,7,18,19.6,structural
127,14,18,19.6,structural
128,21,18,19.6,structural
129,0,0,22.4,structural
130,7,0,22.4,structural
131,14,0,22.4,structural
132,21,0,22.4,structural
133,0,6,22.4,structural
134,7,6,22.4,structural
135,14,6,22.4,structural
136,21,6,22.4,structural
137,0,12,22.4,structural
138,7,12,22.4,structural
139,14,12,22.4,structural
140,21,12,22.4,structural
141,0,18,22.4,structural
142,7,18,22.4,structural
143,14,18,22.4,structural
144,21,18,22.4,structural
145,0,0,25.2,structural
146,7,0,25.2,structural
147,14,0,25.2,structural
148,21,0,25.2,structural
149,0,6,25.2,structural
150,7,6,25.2,structural
151,14,6,25.2,structural
152,21,6,25.2,structural
153,0,12,25.2,structural
154,7,12,25.2,structural
155,14,12,25.2,structural
156,21,12,25.2,structural
157,0,18,25.2,structural
158,7,18,25.2,structural
159,14,18,25.2,structural
160,21,18,25.2,structural
161,0,0,28,structural
162,7,0,28,structural
163,14,0,28,structural
164,21,0,28,structural
165,0,6,28,structural
166,7,6,28,structural
167,14,6,28,structural
168,21,6,28,structural
169,0,12,28,structural
170,7,12,28,structural
171,14,12,28,structural
172,21,12,28,structural
173,0,18,28,structural
174,7,18,28,structural
175,14,18,28,structural
176,21,18,28,structural
