m17,11.64 11.64 11.64 0.00 0.00 0.00,None,,m17,m17,17,-,-,-1e20   1e20
m18,23.19 23.19 23.19 0.00 0.00 0.00,None,,m18,m18,18,-,-,-1e20   1e20
m19,23.19 23.19 23.19 0.00 0.00 0.00,None,,m19,m19,19,-,-,-1e20   1e20
m20,11.64 11.64 11.64 0.00 0.00 0.00,None,,m20,m20,20,-,-,-1e20   1e20
m21,23.04 23.04 23.04 0.00 0.00 0.00,None,,m21,m21,21,-,-,-1e20   1e20
m22,45.15 45.15 45.15 0.00 0.00 0.00,None,,m22,m22,22,-,-,-1e20   1e20
m23,45.15 45.15 45.15 0.00 0.00 0.00,None,,m23,m23,23,-,-,-1e20   1e20
m24,23.04 23.04 23.04 0.00 0.00 0.00,None,,m24,m24,24,-,-,-1e20   1e20
m25,23.04 23.04 23.04 0.00 0.00 0.00,None,,m25,m25,25,-,-,-1e20   1e20
m26,45.15 45.15 45.15 0.00 0.00 0.00,None,,m26,m26,26,-,-,-1e20   1e20
m27,45.15 45.15 45.15 0.00 0.00 0.00,None,,m27,m27,27,-,-,-1e20   1e20
m28,23.04 23.04 23.04 0.00 0.00 0.00,None,,m28,m28,28,-,-,-1e20   1e20
m29,11.64 11.64 11.64 0.00 0.00 0.00,None,,m29,m29,29,-,-,-1e20   1e20
m30,23.19 23.19 23.19 0.00 0.00 0.00,None,,m30,m30,30,-,-,-1e20   1e20
m31,23.19 23.19 23.19 0.00 0.00 0.00,None,,m31,m31,31,-,-,-1e20   1e20
m32,11.64 11.64 11.64 0.00 0.00 0.00,None,,m32,m32,32,-,-,-1e20   1e20
m33,11.85 11.85 11.85 0.00 0.00 0.00,None,,m33,m33,33,-,-,-1e20   1e20
m34,24.06 24.06 24.06 0.00 0.00 0.00,None,,m34,m34,34,-,-,-1e20   1e20
m35,24.06 24.06 24.06 0.00 0.00 0.00,None,,m35,m35,35,-,-,-1e20   1e20
m36,11.85 11.85 11.85 0.00 0.00 0.00,None,,m36,m36,36,-,-,-1e20   1e20
m37,23.55 23.55 23.55 0.00 0.00 0.00,None,,m37,m37,37,-,-,-1e20   1e20
