55,Column22,55   71   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
56,Column18,56   72   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
57,Column18,57   73   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
58,Column22,58   74   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
59,Column22,59   75   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
60,Column18,60   76   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
61,Column6,61   77   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
62,Column17,62   78   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
63,Column17,63   79   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
64,Column6,64   80   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
65,Column6,65   81   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
66,Column15,66   82   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
67,Column15,67   83   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
68,Column6,68   84   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
69,Column16,69   85   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
70,Column21,70   86   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
71,Column21,71   87   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
72,Column16,72   88   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
73,Column16,73   89   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
74,Column21,74   90   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
75,Column21,75   91   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
76,Column16,76   92   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
77,Column6,77   93   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
78,Column15,78   94   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
79,Column15,79   95   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
80,Column6,80   96   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
81,Column5,81   97   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
82,Column11,82   98   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
83,Column11,83   99   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
84,Column5,84   100   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
85,Column13,85   101   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
86,Column20,86   102   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
87,Column20,87   103   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
88,Column13,88   104   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
89,Column13,89   105   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
90,Column20,90   106   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
91,Column20,91   107   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
92,Column13,92   108   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
93,Column5,93   109   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
94,Column11,94   110   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
95,Column11,95   111   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
96,Column5,96   112   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
97,Column2,97   113   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
98,Column9,98   114   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
99,Column9,99   115   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
100,Column2,100   116   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
101,Column9,101   117   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
102,Column18,102   118   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
103,Column18,103   119   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
104,Column9,104   120   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
105,Column9,105   121   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
106,Column18,106   122   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
107,Column18,107   123   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
108,Column9,108   124   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
109,Column2,109   125   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
110,Column9,110   126   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
111,Column9,111   127   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
112,Column2,112   128   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
113,Column2,113   129   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
114,Column10,114   130   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
115,Column10,115   131   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
116,Column2,116   132   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
117,Column12,117   133   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
118,Column14,118   134   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
119,Column14,119   135   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
120,Column12,120   136   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
121,Column12,121   137   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
122,Column14,122   138   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
123,Column14,123   139   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
