-0.5904,0.16093,1
-0.52309,0.18791,1
-0.40095,0.23372,1
-0.24143,0.29084,1
-0.1542,0.31941,1
-0.00971,0.35247,1
-0.09191,0.33576,1
0.1534,0.37401,1
0.26917,0.38048,1
0.31522,0.38181,1
0.40109,0.37917,1
0.44464,0.37707,1
0.60071,0.34772,1
0.80092,0.30784,1
1.00174,0.26297,1
1.20254,0.21373,1
1.10992,0.23759,1
1.28396,0.18986,1
1.40205,0.15169,1
1.49153,0.12128,1
1.58847,0.08619,1
1.66925,0.05639,1
1.73511,0.02936,1
1.75373,0.01941,1
1.7593,0.01068,1
1.76114,0.00444,1
0.83274,0.00638,0
0.83273,0.00576,0
0.83274,0.00607,0
0.83274,0.00701,0
0.78932,0.04188,0
0.76811,0.02935,0
0.67241,0.06163,0
0.60652,0.08023,0
0.55305,0.09105,0
0.48588,0.09997,0
0.41371,0.10389,0
0.34027,0.10031,0
0.27677,0.09239,0
0.21574,0.0801,0
0.14472,0.06061,0
0.07743,0.03613,0
0.02383,0.01417,0
0,0,0
-0.6,0,0.6
0,0,0
0.1,0,0
0.2,0,0
0.2,0.05,0
0.3,0,0
0.3,0.05,0
0.4,0,0
0.4,0.05,0
0.4,0.1,0
0.5,0,0
0.5,0.05,0
0.6,0,0
0.6,0.05,0
0.7,0.00E+00,0
0.7,0.05,0
0.8,0,0
