Column1,Column3,Column4,Column5,Column6,Column7,Column8
135/8/8,544.122,-5.747,-1.619,2.536,-6.386,3.05
135/8/9,509.718,-5.229,-1.501,2.354,-5.817,3.05
135/8/13,486.182,-4.679,0.167,-0.455,-5.109,3.05
135/8/14,485.088,-5.053,-3.003,4.909,-5.728,3.05
135/29/6,483.756,-5.022,-1.453,-2.151,9.727,3.05
135/29/7,741.38,-7.907,-2.244,-3.325,15.33,3.05
135/29/8,531.922,-5.747,-1.619,-2.401,11.142,3.05
135/29/9,497.518,-5.229,-1.501,-2.223,10.131,3.05
135/29/13,473.982,-4.679,0.167,0.055,9.163,3.05
135/29/14,472.888,-5.053,-3.003,-4.25,9.685,3.05
138/7/6,799.406,3.725,7.827,-7.154,3.478,3.05
138/7/7,1220.533,5.672,12.093,-11.058,5.292,3.05
138/7/8,876.386,4.088,8.778,-8.034,3.808,3.05
138/7/9,821.4,3.828,8.099,-7.405,3.572,3.05
138/7/13,785.588,6.736,9.132,-9.57,8.91,3.05
138/7/14,780.231,0.558,6.115,-4.361,-2.095,3.05
138/28/6,787.206,3.725,7.827,16.719,-7.882,3.05
138/28/7,1204.063,5.672,12.093,25.825,-12.008,3.05
138/28/8,864.186,4.088,8.778,18.739,-8.659,3.05
138/28/9,809.2,3.828,8.099,17.296,-8.104,3.05
138/28/13,773.388,6.736,9.132,18.283,-11.636,3.05
138/28/14,768.031,0.558,6.115,14.29,-3.795,3.05
144/4/6,403.223,4.253,0.827,-0.674,4.08,3.05
144/4/7,607.981,6.653,1.263,-1.029,6.386,3.05
144/4/8,438.234,4.832,0.911,-0.742,4.639,3.05
144/4/9,413.226,4.418,0.851,-0.694,4.24,3.05
144/4/13,388.143,2.645,3.563,-4.923,1.326,3.05
144/4/14,403.298,5.613,-1.945,3.603,6.594,3.05
144/24/6,396.36,4.253,0.827,1.848,-8.892,3.05
144/24/7,598.717,6.653,1.263,2.822,-13.904,3.05
144/24/8,431.372,4.832,0.911,2.035,-10.098,3.05
144/24/9,406.364,4.418,0.851,1.902,-9.236,3.05
144/24/13,381.28,2.645,3.563,5.945,-6.74,3.05
144/24/14,396.435,5.613,-1.945,-2.329,-10.527,3.05
146/3/6,451.252,3.445,-3.263,3.484,3.349,3.05
146/3/7,681.579,5.416,-4.948,5.285,5.27,3.05
146/3/8,490.714,3.935,-3.566,3.809,3.828,3.05
146/3/9,462.527,3.585,-3.35,3.577,3.486,3.05
146/3/13,443.916,3.383,-0.517,-0.775,3.328,3.05
146/3/14,441.676,3.297,-5.88,7.604,3.165,3.05
146/23/6,444.389,3.445,-3.263,-6.469,-7.158,3.05
146/23/7,672.315,5.416,-4.948,-9.806,-11.249,3.05
146/23/8,483.851,3.935,-3.566,-7.067,-8.172,3.05
146/23/9,455.664,3.585,-3.35,-6.64,-7.448,3.05
146/23/13,437.053,3.383,-0.517,-2.351,-6.991,3.05
146/23/14,434.813,3.297,-5.88,-10.331,-6.89,3.05
149/2/6,342.061,2.805,7.446,-7.404,2.754,3.05
149/2/7,516.587,4.43,11.26,-11.193,4.353,3.05
149/2/8,372.162,3.223,8.102,-8.054,3.166,3.05
149/2/9,350.661,2.924,7.634,-7.59,2.872,3.05
149/2/13,337.418,3.609,10.22,-11.691,4.321,3.05
149/2/14,333.803,1.821,4.392,-2.839,1.01,3.05
149/22/6,335.198,2.805,7.446,15.307,-5.8,3.05
149/22/7,507.323,4.43,11.26,23.149,-9.157,3.05
149/22/8,365.3,3.223,8.102,16.658,-6.663,3.05
149/22/9,343.799,2.924,7.634,15.693,-6.047,3.05
149/22/13,330.555,3.609,10.22,19.48,-6.685,3.05
149/22/14,326.94,1.821,4.392,10.556,-4.545,3.05
153/153/6,88.435,-6.288,27.781,-37.621,-8.434,2.8
153/153/7,131.035,-9.556,42.01,-56.909,-12.854,2.8
153/153/8,92.984,-6.784,30.174,-40.911,-9.19,2.8
153/153/9,89.735,-6.43,28.465,-38.561,-8.65,2.8
153/153/13,87.724,-6.995,26.629,-36.084,-9.34,2.8
153/153/14,87.197,-5.368,27.906,-37.748,-7.204,2.8
153/186/6,82.135,-6.288,27.781,40.165,9.172,2.8
153/186/7,122.53,-9.556,42.01,60.719,13.902,2.8
153/186/8,86.684,-6.784,30.174,43.578,9.805,2.8
153/186/9,83.435,-6.43,28.465,41.14,9.353,2.8
153/186/13,81.424,-6.995,26.629,38.477,10.246,2.8
153/186/14,80.897,-5.368,27.906,40.389,7.828,2.8
156/152/6,19.417,-10.917,-0.708,0.93,-14.169,2.8
156/152/7,24.993,-16.838,-1.15,1.493,-22.044,2.8
156/152/8,11.747,-11.599,-0.857,1.079,-15.499,2.8
156/152/9,17.226,-11.112,-0.751,0.973,-14.549,2.8
156/152/13,20.837,-10.986,-1.721,2.339,-14.124,2.8
156/152/14,21.285,-10.556,0.369,-0.542,-13.644,2.8
156/185/6,13.117,-10.917,-0.708,-1.052,16.399,2.8
156/185/7,16.488,-16.838,-1.15,-1.727,25.101,2.8
156/185/8,5.447,-11.599,-0.857,-1.321,16.978,2.8
156/185/9,10.926,-11.112,-0.751,-1.129,16.565,2.8
156/185/13,14.537,-10.986,-1.721,-2.48,16.637,2.8
156/185/14,14.985,-10.556,0.369,0.492,15.913,2.8
160/150/6,94.275,-1.431,-30.744,41.823,-1.94,2.8
160/150/7,139.608,-2.24,-46.514,63.336,-3.064,2.8
160/150/8,99.167,-1.514,-33.311,45.456,-2.115,2.8
160/150/9,95.673,-1.455,-31.477,42.861,-1.99,2.8
160/150/13,93.36,-1.094,-31.177,42.34,-1.465,2.8
160/150/14,93.095,-1.732,-29.21,39.748,-2.34,2.8
160/183/6,87.975,-1.431,-30.744,-44.26,2.066,2.8
160/183/7,131.103,-2.24,-46.514,-66.904,3.207,2.8
160/183/8,92.867,-1.514,-33.311,-47.814,2.123,2.8
160/183/9,89.373,-1.455,-31.477,-45.276,2.082,2.8
160/183/13,87.06,-1.094,-31.177,-44.957,1.597,2.8
160/183/14,86.795,-1.732,-29.21,-42.041,2.51,2.8
162/149/6,88.838,1.101,7.125,-9.952,1.488,2.8
162/149/7,131.429,1.556,10.621,-14.862,2.106,2.8
162/149/8,90.997,1.15,7.638,-10.717,1.565,2.8
162/149/9,89.455,1.115,7.271,-10.171,1.51,2.8
162/149/13,88.139,1.383,6.23,-8.747,1.872,2.8
162/149/14,88.611,0.798,7.8,-10.829,1.07,2.8
162/182/6,82.538,1.101,7.125,9.997,-1.595,2.8
162/182/7,122.924,1.556,10.621,14.877,-2.251,2.8
162/182/8,84.697,1.15,7.638,10.669,-1.655,2.8
162/182/9,83.155,1.115,7.271,10.189,-1.613,2.8
162/182/13,81.839,1.383,6.23,8.697,-2,2.8
162/182/14,82.311,0.798,7.8,11.01,-1.165,2.8
167/147/6,17.88,-9.099,-5.391,7.618,-12.096,2.8
167/147/7,23.473,-14.014,-8.208,11.604,-18.767,2.8
167/147/8,12.08,-9.713,-5.857,8.293,-13.227,2.8
167/147/9,16.223,-9.275,-5.524,7.811,-12.419,2.8
167/147/13,20.059,-8.588,-5.988,8.436,-11.377,2.8
167/147/14,18.187,-9.346,-4.595,6.51,-12.329,2.8
167/180/6,11.58,-9.099,-5.391,-7.478,13.382,2.8
167/180/7,14.968,-14.014,-8.208,-11.378,20.473,2.8
167/180/8,5.78,-9.713,-5.857,-8.106,13.97,2.8
167/180/9,9.923,-9.275,-5.524,-7.657,13.55,2.8
167/180/13,13.759,-8.588,-5.988,-8.329,12.67,2.8
167/180/14,11.887,-9.346,-4.595,-6.357,13.841,2.8
169/146/6,77.661,-5.326,-17.788,24.317,-7.108,2.8
169/146/7,114.504,-8.014,-26.899,36.779,-10.755,2.8
169/146/8,81.163,-5.618,-19.307,26.414,-7.637,2.8
169/146/9,78.662,-5.409,-18.222,24.916,-7.259,2.8
169/146/13,76.097,-4.38,-17.813,24.327,-5.848,2.8
169/146/14,77.725,-6.146,-17.111,23.408,-8.142,2.8
169/179/6,71.361,-5.326,-17.788,-25.489,7.803,2.8
169/179/7,105.999,-8.014,-26.899,-38.539,11.684,2.8
169/179/8,74.863,-5.618,-19.307,-27.646,8.092,2.8
169/179/9,72.362,-5.409,-18.222,-26.106,7.886,2.8
169/179/13,69.797,-4.38,-17.813,-25.55,6.417,2.8
169/179/14,71.425,-6.146,-17.111,-24.504,9.066,2.8
172/145/6,95.552,-0.123,24.958,-33.863,-0.273,2.8
172/145/7,142.064,-0.211,38.206,-51.846,-0.436,2.8
172/145/8,99.787,-0.191,27.369,-37.155,-0.347,2.8
172/145/9,96.762,-0.142,25.647,-34.804,-0.294,2.8
172/145/13,95.097,-1.184,24.346,-33.044,-1.739,2.8
172/145/14,94.192,0.967,24.538,-33.272,1.224,2.8
172/178/6,89.252,-0.123,24.958,36.02,0.071,2.8
172/178/7,133.559,-0.211,38.206,55.129,0.154,2.8
172/178/8,93.487,-0.191,27.369,39.477,0.187,2.8
172/178/9,90.462,-0.142,25.647,37.008,0.104,2.8
172/178/13,88.797,-1.184,24.346,35.124,1.575,2.8
172/178/14,87.892,0.967,24.538,35.434,-1.484,2.8
175/144/6,20.29,10.27,11.973,-16.536,13.361,2.8
175/144/7,25.191,15.685,18.244,-25.29,20.355,2.8
175/144/8,9.313,11.359,12.897,-18.033,14.663,2.8
175/144/9,17.154,10.582,12.237,-16.964,13.733,2.8
175/144/13,21.831,9.874,11.437,-15.763,12.922,2.8
175/144/14,23.454,10.2,12.112,-16.669,13.241,2.8
175/177/6,13.99,10.27,11.973,16.987,-15.397,2.8
175/177/7,16.686,15.685,18.244,25.794,-23.564,2.8
175/177/8,3.013,11.359,12.897,18.079,-17.143,2.8
175/177/9,10.854,10.582,12.237,17.299,-15.896,2.8
175/177/13,15.531,9.874,11.437,16.261,-14.725,2.8
175/177/14,17.154,10.2,12.112,17.244,-15.32,2.8
180/141/6,156.839,-12.91,32.925,-39.42,-15.7,2.8
180/141/7,233.992,-19.532,49.958,-60.367,-23.959,2.8
180/141/8,160.32,-13.554,34.575,-42.693,-16.967,2.8
180/141/9,157.834,-13.094,33.397,-40.355,-16.062,2.8
180/141/13,156.562,-13.129,32.395,-38.591,-15.745,2.8
180/141/14,155.625,-12.415,32.749,-38.846,-15.112,2.8
180/174/6,145.639,-12.91,32.925,52.771,20.447,2.8
180/174/7,218.872,-19.532,49.958,79.515,30.73,2.8
180/174/8,149.12,-13.554,34.575,54.117,20.983,2.8
180/174/9,146.634,-13.094,33.397,53.156,20.601,2.8
180/174/13,145.362,-13.129,32.395,52.116,21.016,2.8
180/174/14,144.425,-12.415,32.749,52.85,19.65,2.8
184/139/6,160.445,-3.375,-28.695,34.177,-4.158,2.8
184/139/7,239.419,-5.186,-43.568,52.41,-6.393,2.8
184/139/8,163.421,-3.692,-29.99,36.925,-4.559,2.8
184/139/9,161.295,-3.466,-29.065,34.962,-4.273,2.8
184/139/13,159.758,-2.971,-28.703,33.846,-3.726,2.8
184/139/14,159.856,-3.644,-28.132,33.329,-4.419,2.8
184/172/6,149.245,-3.375,-28.695,-46.17,5.292,2.8
184/172/7,224.299,-5.186,-43.568,-69.579,8.129,2.8
184/172/8,152.221,-3.692,-29.99,-47.046,5.778,2.8
184/172/9,150.095,-3.466,-29.065,-46.42,5.431,2.8
184/172/13,148.558,-2.971,-28.703,-46.523,4.593,2.8
184/172/14,148.656,-3.644,-28.132,-45.442,5.784,2.8
187/138/6,66.168,0.066,11.514,-15.343,0.081,2.8
187/138/7,97.669,0.128,17.592,-23.562,0.163,2.8
187/138/8,68.019,0.081,12.348,-16.735,0.105,2.8
187/138/9,66.697,0.07,11.752,-15.74,0.088,2.8
187/138/13,65.688,-1.024,11.319,-15.019,-1.423,2.8
187/138/14,65.855,1.149,11.352,-15.07,1.574,2.8
187/171/6,59.868,0.066,11.514,16.896,-0.104,2.8
187/171/7,89.164,0.128,17.592,25.695,-0.196,2.8
187/171/8,61.719,0.081,12.348,17.839,-0.123,2.8
187/171/9,60.397,0.07,11.752,17.166,-0.109,2.8
187/171/13,59.388,-1.024,11.319,16.673,1.445,2.8
187/171/14,59.555,1.149,11.352,16.715,-1.644,2.8
193/134/6,16.879,6.683,-2.009,2.992,8.781,2.8
193/134/7,21.425,10.059,-3.158,4.688,13.354,2.8
193/134/8,8.944,6.929,-2.225,3.305,9.429,2.8
193/134/9,14.612,6.753,-2.071,3.081,8.966,2.8
193/134/13,17.963,6.982,-2.02,3.003,9.085,2.8
193/134/14,19.196,6.278,-1.907,2.846,8.199,2.8
193/167/6,10.579,6.683,-2.009,-2.635,-9.93,2.8
193/167/7,12.92,10.059,-3.158,-4.153,-14.811,2.8
193/167/8,2.644,6.929,-2.225,-2.925,-9.971,2.8
193/167/9,8.312,6.753,-2.071,-2.718,-9.942,2.8
193/167/13,11.663,6.982,-2.02,-2.653,-10.463,2.8
193/167/14,12.896,6.278,-1.907,-2.492,-9.38,2.8
195/133/6,90.128,3.333,-18.576,25.084,4.545,2.8
195/133/7,133.49,5.02,-28.406,38.397,6.875,2.8
195/133/8,93.244,3.573,-20.258,27.451,4.941,2.8
195/133/9,91.018,3.402,-19.056,25.761,4.658,2.8
195/133/13,90.113,4.376,-18.368,24.787,5.969,2.8
195/133/14,88.808,2.188,-18.063,24.368,2.951,2.8
195/166/6,83.828,3.333,-18.576,-26.928,-4.788,2.8
195/166/7,124.985,5.02,-28.406,-41.138,-7.182,2.8
195/166/8,86.944,3.573,-20.258,-29.271,-5.064,2.8
195/166/9,84.718,3.402,-19.056,-27.598,-4.867,2.8
195/166/13,83.813,4.376,-18.368,-26.643,-6.283,2.8
195/166/14,82.508,2.188,-18.063,-26.209,-3.175,2.8
198/132/6,73.645,-3.012,6.924,-9.058,-4.126,2.8
198/132/7,107.405,-4.522,10.614,-14.001,-6.216,2.8
198/132/8,72.716,-3.223,7.357,-9.887,-4.464,2.8
198/132/9,73.38,-3.072,7.048,-9.295,-4.223,2.8
198/132/13,73.935,-4.076,7.028,-9.14,-5.586,2.8
198/132/14,73.754,-1.859,6.633,-8.621,-2.522,2.8
198/165/6,67.345,-3.012,6.924,10.328,4.308,2.8
198/165/7,98.9,-4.522,10.614,15.718,6.447,2.8
198/165/8,66.416,-3.223,7.357,10.714,4.559,2.8
198/165/9,67.08,-3.072,7.048,10.438,4.38,2.8
198/165/13,67.635,-4.076,7.028,10.539,5.827,2.8
198/165/14,67.454,-1.859,6.633,9.951,2.682,2.8
202/130/6,133.838,6.612,-16.543,21.285,7.912,2.8
202/130/7,198.408,9.975,-25.004,32.347,12.07,2.8
202/130/8,132.956,6.851,-17.48,22.904,8.499,2.8
202/130/9,133.586,6.68,-16.81,21.748,8.079,2.8
202/130/13,133.923,6.164,-15.893,20.402,7.404,2.8
202/130/14,134.131,6.957,-16.791,21.474,8.168,2.8
202/163/6,122.638,6.612,-16.543,-25.034,-10.601,2.8
202/163/7,183.288,9.975,-25.004,-37.664,-15.861,2.8
202/163/8,121.756,6.851,-17.48,-26.039,-10.683,2.8
202/163/9,122.386,6.68,-16.81,-25.321,-10.624,2.8
202/163/13,122.723,6.164,-15.893,-24.097,-9.854,2.8
202/163/14,122.931,6.957,-16.791,-25.541,-11.312,2.8
206/129/6,92.273,-16.12,-3.027,3.851,-18.981,2.8
206/129/7,137.75,-24.519,-4.615,5.891,-29.168,2.8
206/129/8,93.758,-16.845,-3.199,4.118,-20.548,2.8
206/129/9,92.697,-16.327,-3.076,3.927,-19.429,2.8
206/129/13,91.946,-15.969,-2.473,3.159,-18.645,2.8
206/129/14,91.962,-15.96,-3.509,4.428,-18.645,2.8
206/162/6,81.073,-16.12,-3.027,-4.626,26.155,2.8
206/162/7,122.63,-24.519,-4.615,-7.031,39.486,2.8
206/162/8,82.558,-16.845,-3.199,-4.838,26.617,2.8
206/162/9,81.497,-16.327,-3.076,-4.686,26.287,2.8
206/162/13,80.746,-15.969,-2.473,-3.765,26.068,2.8
206/162/14,80.762,-15.96,-3.509,-5.395,26.044,2.8
208/128/6,153.506,7.134,19.786,-25.127,9.075,2.8
208/128/7,228.583,10.889,29.984,-38.351,13.893,2.8
208/128/8,154.74,7.726,20.931,-27.223,9.918,2.8
208/128/9,153.859,7.303,20.113,-25.726,9.316,2.8
208/128/13,153.551,7.443,20,-25.223,9.333,2.8
208/128/14,152.932,6.571,19.081,-24.133,8.455,2.8
208/161/6,142.306,7.134,19.786,30.273,-10.9,2.8
208/161/7,213.463,10.889,29.984,45.603,-16.595,2.8
208/161/8,143.54,7.726,20.931,31.383,-11.713,2.8
208/161/9,142.659,7.303,20.113,30.59,-11.132,2.8
208/161/13,142.351,7.443,20,30.777,-11.507,2.8
208/161/14,141.732,6.571,19.081,29.294,-9.944,2.8
212/126/6,85.81,-0.37,-14.314,18.84,-0.459,2.8
212/126/7,126.295,-0.485,-21.867,28.931,-0.62,2.8
212/126/8,86.501,-0.284,-15.315,20.502,-0.406,2.8
212/126/9,86.007,-0.345,-14.6,19.315,-0.444,2.8
212/126/13,85.226,0.723,-13.943,18.282,1.065,2.8
212/126/14,86.097,-1.499,-14.256,18.686,-2.006,2.8
212/159/6,79.51,-0.37,-14.314,-21.24,0.576,2.8
212/159/7,117.79,-0.485,-21.867,-32.296,0.737,2.8
212/159/8,80.201,-0.284,-15.315,-22.379,0.391,2.8
212/159/9,79.707,-0.345,-14.6,-21.565,0.523,2.8
212/159/13,78.926,0.723,-13.943,-20.76,-0.959,2.8
212/159/14,79.797,-1.499,-14.256,-21.232,2.19,2.8
214/125/6,38.314,2.951,3.224,-4.321,3.854,2.8
214/125/7,55.423,4.447,4.928,-6.62,5.857,2.8
214/125/8,38.953,3.044,3.499,-4.726,4.09,2.8
214/125/9,38.497,2.977,3.303,-4.437,3.922,2.8
214/125/13,37.97,2.083,3.796,-5.074,2.696,2.8
214/125/14,38.384,3.777,2.534,-3.394,4.912,2.8
214/158/6,32.014,2.951,3.224,4.706,-4.407,2.8
214/158/7,46.918,4.447,4.928,7.179,-6.596,2.8
214/158/8,32.653,3.044,3.499,5.072,-4.434,2.8
214/158/9,32.197,2.977,3.303,4.81,-4.415,2.8
214/158/13,31.67,2.083,3.796,5.553,-3.137,2.8
214/158/14,32.084,3.777,2.534,3.701,-5.665,2.8
216/124/6,72.952,9.687,1.297,-1.806,12.442,2.8
216/124/7,106.645,14.868,2.005,-2.8,19.292,2.8
216/124/8,71.821,10.17,1.428,-2.007,13.528,2.8
216/124/9,72.629,9.825,1.334,-1.863,12.752,2.8
216/124/13,73.103,9.349,2.1,-2.908,11.967,2.8
216/124/14,73.284,9.819,0.437,-0.618,12.45,2.8
216/157/6,66.652,9.687,1.297,1.825,-14.683,2.8
216/157/7,98.14,14.868,2.005,2.814,-22.337,2.8
216/157/8,65.521,10.17,1.428,1.991,-14.949,2.8
216/157/9,66.329,9.825,1.334,1.873,-14.759,2.8
216/157/13,66.803,9.349,2.1,2.973,-14.21,2.8
216/157/14,66.984,9.819,0.437,0.605,-15.043,2.8
218/123/6,106.881,7.633,3.921,-5.418,9.489,2.8
218/123/7,158.347,11.77,5.931,-8.191,14.832,2.8
218/123/8,109.089,7.952,4.309,-5.942,10.348,2.8
218/123/9,107.512,7.724,4.032,-5.568,9.735,2.8
218/123/13,106.441,7.554,4.744,-6.54,9.293,2.8
218/123/14,106.376,7.575,2.931,-4.073,9.318,2.8
218/156/6,100.581,7.633,3.921,5.56,-11.883,2.8
218/156/7,149.842,11.77,5.931,8.416,-18.124,2.8
218/156/8,102.789,7.952,4.309,6.123,-11.918,2.8
218/156/9,101.212,7.724,4.032,5.721,-11.893,2.8
218/156/13,100.141,7.554,4.744,6.743,-11.858,2.8
218/156/14,100.076,7.575,2.931,4.135,-11.893,2.8
220/122/6,56.644,9.286,-0.709,1.084,11.834,2.8
220/122/7,81.821,14.301,-1.122,1.698,18.45,2.8
220/122/8,53.29,9.707,-0.784,1.171,12.896,2.8
220/122/9,55.686,9.406,-0.73,1.109,12.137,2.8
220/122/13,57.308,9.39,0.167,-0.115,11.799,2.8
220/122/14,57.417,9.001,-1.553,2.247,11.414,2.8
220/155/6,50.344,9.286,-0.709,-0.9,-14.166,2.8
220/155/7,73.316,14.301,-1.122,-1.442,-21.594,2.8
220/155/8,46.99,9.707,-0.784,-1.024,-14.285,2.8
220/155/9,49.386,9.406,-0.73,-0.935,-14.2,2.8
220/155/13,51.008,9.39,0.167,0.354,-14.493,2.8
220/155/14,51.117,9.001,-1.553,-2.1,-13.788,2.8
221/121/6,60.154,4.215,-12.922,17.426,5.609,2.8
221/121/7,88.193,6.418,-19.582,26.445,8.592,2.8
221/121/8,61.817,4.473,-13.944,18.896,6.079,2.8
221/121/9,60.629,4.289,-13.214,17.846,5.743,2.8
221/121/13,60.192,5.076,-12.093,16.309,6.707,2.8
221/121/14,59.402,3.243,-13.314,17.912,4.309,2.8
221/154/6,53.854,4.215,-12.922,-18.757,-6.194,2.8
221/154/7,79.688,6.418,-19.582,-28.386,-9.377,2.8
221/154/8,55.517,4.473,-13.944,-20.147,-6.445,2.8
221/154/9,54.329,4.289,-13.214,-19.154,-6.266,2.8
221/154/13,53.892,5.076,-12.093,-17.551,-7.507,2.8
221/154/14,53.102,3.243,-13.314,-19.367,-4.773,2.8
224/120/6,194.316,-5.509,25.693,-36.23,-7.713,2.8
224/120/7,289.805,-8.434,38.885,-54.831,-11.804,2.8
224/120/8,207.884,-6.098,28.003,-39.49,-8.53,2.8
224/120/9,198.193,-5.677,26.353,-37.161,-7.946,2.8
224/120/13,192.16,-6.942,23.855,-33.715,-9.658,2.8
224/120/14,190.657,-3.822,26.541,-37.346,-5.418,2.8
224/153/6,188.016,-5.509,25.693,35.71,7.711,2.8
224/153/7,281.3,-8.434,38.885,54.046,11.811,2.8
224/153/8,201.584,-6.098,28.003,38.918,8.546,2.8
224/153/9,191.893,-5.677,26.353,36.627,7.95,2.8
224/153/13,185.86,-6.942,23.855,33.078,9.78,2.8
224/153/14,184.357,-3.822,26.541,36.968,5.284,2.8
227/119/6,20.104,-8.926,-0.516,0.731,-12.675,2.8
227/119/7,26.815,-14.122,-0.816,1.157,-20.022,2.8
227/119/8,14.741,-10.314,-0.552,0.787,-14.575,2.8
227/119/9,18.571,-9.323,-0.526,0.747,-13.218,2.8
227/119/13,20.878,-9.046,-2.443,3.41,-12.795,2.8
227/119/14,21.628,-8.211,1.426,-1.971,-11.739,2.8
227/152/6,13.804,-8.926,-0.516,-0.714,12.318,2.8
227/152/7,18.31,-14.122,-0.816,-1.128,19.521,2.8
227/152/8,8.441,-10.314,-0.552,-0.76,14.304,2.8
227/152/9,12.271,-9.323,-0.526,-0.727,12.885,2.8
227/152/13,14.578,-9.046,-2.443,-3.43,12.532,2.8
227/152/14,15.328,-8.211,1.426,2.023,11.252,2.8
231/117/6,204.112,-1.423,-28.52,40.147,-2.041,2.8
231/117/7,304.234,-2.274,-43.276,60.912,-3.253,2.8
231/117/8,218.236,-1.642,-31.205,43.918,-2.348,2.8
231/117/9,208.147,-1.486,-29.287,41.224,-2.129,2.8
231/117/13,201.73,-0.932,-29.598,41.591,-1.36,2.8
231/117/14,200.441,-1.821,-26.292,37.087,-2.591,2.8
231/150/6,197.812,-1.423,-28.52,-39.709,1.944,2.8
231/150/7,295.729,-2.274,-43.276,-60.26,3.114,2.8
231/150/8,211.936,-1.642,-31.205,-43.456,2.249,2.8
231/150/9,201.847,-1.486,-29.287,-40.78,2.031,2.8
231/150/13,195.43,-0.932,-29.598,-41.283,1.249,2.8
231/150/14,194.141,-1.821,-26.292,-36.529,2.508,2.8
233/116/6,181.931,0.915,7.425,-10.521,1.258,2.8
233/116/7,272.05,1.293,11.119,-15.757,1.778,2.8
233/116/8,193.34,0.964,8.048,-11.405,1.323,2.8
233/116/9,185.191,0.929,7.603,-10.774,1.277,2.8
233/116/13,178.638,1.325,6.047,-8.629,1.826,2.8
233/116/14,180.335,0.483,8.536,-12.035,0.662,2.8
233/149/6,175.631,0.915,7.425,10.268,-1.303,2.8
233/149/7,263.545,1.293,11.119,15.377,-1.843,2.8
233/149/8,187.04,0.964,8.048,11.129,-1.377,2.8
233/149/9,178.891,0.929,7.603,10.514,-1.324,2.8
233/149/13,172.338,1.325,6.047,8.302,-1.883,2.8
233/149/14,174.035,0.483,8.536,11.866,-0.691,2.8
238/114/6,25.01,-7.903,-5.492,7.703,-11.136,2.8
238/114/7,34.822,-12.44,-8.383,11.754,-17.511,2.8
238/114/8,21.598,-9.058,-6.027,8.453,-12.722,2.8
238/114/9,24.035,-8.233,-5.645,7.917,-11.589,2.8
238/114/13,27.111,-6.798,-6.693,9.373,-9.649,2.8
238/114/14,24.372,-8.513,-4.062,5.711,-11.942,2.8
238/147/6,18.71,-7.903,-5.492,-7.676,10.993,2.8
238/147/7,26.317,-12.44,-8.383,-11.717,17.322,2.8
238/147/8,15.298,-9.058,-6.027,-8.423,12.639,2.8
238/147/9,17.735,-8.233,-5.645,-7.889,11.463,2.8
238/147/13,20.811,-6.798,-6.693,-9.369,9.385,2.8
238/147/14,18.072,-8.513,-4.062,-5.663,11.895,2.8
240/113/6,171.372,-4.652,-17.009,24.072,-6.53,2.8
240/113/7,254.554,-7.122,-25.739,36.424,-9.989,2.8
240/113/8,182.616,-5.201,-18.529,26.223,-7.284,2.8
240/113/9,174.585,-4.809,-17.443,24.686,-6.745,2.8
240/113/13,167.245,-2.885,-17.553,24.791,-4.138,2.8
240/113/14,170.68,-6.183,-15.813,22.43,-8.598,2.8
240/146/6,165.072,-4.652,-17.009,-23.553,6.495,2.8
240/146/7,246.049,-7.122,-25.739,-35.646,9.952,2.8
240/146/8,176.316,-5.201,-18.529,-25.658,7.279,2.8
240/146/9,168.285,-4.809,-17.443,-24.155,6.719,2.8
240/146/13,160.945,-2.885,-17.553,-24.358,3.94,2.8
240/146/14,164.38,-6.183,-15.813,-21.847,8.715,2.8
243/112/6,208.02,-0.462,23.285,-32.862,-0.699,2.8
243/112/7,312.035,-0.692,35.651,-50.313,-1.048,2.8
243/112/8,222.829,-0.479,25.572,-36.098,-0.729,2.8
243/112/9,212.251,-0.467,23.939,-33.787,-0.708,2.8
243/112/13,205.397,-2.474,22.377,-31.615,-3.495,2.8
243/112/14,204.296,1.557,23.213,-32.723,2.108,2.8
243/145/6,201.72,-0.462,23.285,32.337,0.594,2.8
243/145/7,303.53,-0.692,35.651,49.509,0.889,2.8
243/145/8,216.529,-0.479,25.572,35.504,0.611,2.8
243/145/9,205.951,-0.467,23.939,33.242,0.599,2.8
243/145/13,199.097,-2.474,22.377,31.042,3.433,2.8
243/145/14,197.996,1.557,23.213,32.274,-2.251,2.8
246/111/6,21.982,8.513,11.813,-16.654,12.123,2.8
246/111/7,28.957,12.915,18.164,-25.597,18.401,2.8
246/111/8,14.546,9.22,13.132,-18.493,13.151,2.8
246/111/9,19.857,8.715,12.19,-17.179,12.417,2.8
246/111/13,22.322,7.908,10.835,-15.302,11.347,2.8
246/111/14,24.828,8.815,12.226,-17.218,12.459,2.8
246/144/6,15.682,8.513,11.813,16.423,-11.714,2.8
246/144/7,20.452,12.915,18.164,25.262,-17.76,2.8
246/144/8,8.246,9.22,13.132,18.277,-12.664,2.8
246/144/9,13.557,8.715,12.19,16.953,-11.985,2.8
246/144/13,16.022,7.908,10.835,15.036,-10.797,2.8
246/144/14,18.528,8.815,12.226,17.014,-12.224,2.8
251/108/6,323.368,-9.069,22.083,-32.424,-13.253,2.8
251/108/7,488.899,-14.069,34.416,-50.359,-20.495,2.8
251/108/8,345.379,-10.337,25.326,-36.781,-14.96,2.8
251/108/9,329.657,-9.431,23.009,-33.669,-13.741,2.8
251/108/13,319.914,-9.596,20.972,-31.048,-13.808,2.8
251/108/14,317.389,-7.998,21.804,-31.933,-11.967,2.8
