Column1,Column3,Column4,Column5,Column6,Column7,Column8
24/56/13,161.587,7.583,1.434,-1.816,10.368,2.8
24/56/14,160.038,6.458,-2.978,4.318,8.929,2.8
24/89/6,156.691,7.256,-0.792,-0.935,-10.341,2.8
24/89/7,235.686,11.502,-1.242,-1.478,-16.383,2.8
24/89/8,166.859,8.354,-0.885,-1.05,-11.888,2.8
24/89/9,159.596,7.57,-0.818,-0.968,-10.783,2.8
24/89/13,155.287,7.583,1.434,2.199,-10.866,2.8
24/89/14,153.738,6.458,-2.978,-4.02,-9.154,2.8
25/55/6,199.349,3.492,-11.543,16.01,4.81,2.8
25/55/7,296.445,5.392,-17.57,24.368,7.428,2.8
25/55/8,213.079,3.9,-12.673,17.579,5.375,2.8
25/55/9,203.272,3.609,-11.866,16.458,4.972,2.8
25/55/13,198.334,5.766,-9.579,13.296,7.937,2.8
25/55/14,194.48,1.044,-13.024,18.051,1.442,2.8
25/88/6,193.049,3.492,-11.543,-16.312,-4.968,2.8
25/88/7,287.94,5.392,-17.57,-24.829,-7.669,2.8
25/88/8,206.779,3.9,-12.673,-17.905,-5.544,2.8
25/88/9,196.972,3.609,-11.866,-16.767,-5.132,2.8
25/88/13,192.034,5.766,-9.579,-13.525,-8.209,2.8
25/88/14,188.18,1.044,-13.024,-18.416,-1.48,2.8
28/54/6,408.252,-5.109,29.219,-41.82,-7.109,2.8
28/54/7,610.626,-7.814,44.196,-63.25,-10.877,2.8
28/54/8,440.326,-5.651,31.847,-45.579,-7.868,2.8
28/54/9,417.416,-5.264,29.97,-42.894,-7.326,2.8
28/54/13,403.548,-7.615,26.456,-38.078,-10.572,2.8
28/54/14,399.211,-2.369,30.855,-43.95,-3.32,2.8
28/87/6,401.952,-5.109,29.219,39.994,7.195,2.8
28/87/7,602.121,-7.814,44.196,60.498,11.003,2.8
28/87/8,434.026,-5.651,31.847,43.593,7.955,2.8
28/87/9,411.116,-5.264,29.97,41.022,7.412,2.8
28/87/13,397.248,-7.615,26.456,35.999,10.751,2.8
28/87/14,392.911,-2.369,30.855,42.445,3.314,2.8
31/53/6,11.74,-11.193,-0.614,0.87,-16.953,2.8
31/53/7,15.844,-17.638,-0.967,1.371,-26.708,2.8
31/53/8,10.049,-12.793,-0.667,0.944,-19.371,2.8
31/53/9,11.257,-11.65,-0.629,0.892,-17.644,2.8
31/53/13,12.039,-11.688,-4.187,6.016,-17.662,2.8
31/53/14,12.165,-10.012,2.982,-4.306,-15.209,2.8
31/86/6,5.44,-11.193,-0.614,-0.849,14.387,2.8
31/86/7,7.339,-17.638,-0.967,-1.338,22.679,2.8
31/86/8,3.749,-12.793,-0.667,-0.922,16.45,2.8
31/86/9,4.957,-11.65,-0.629,-0.87,14.976,2.8
31/86/13,5.739,-11.688,-4.187,-5.709,15.064,2.8
31/86/14,5.865,-10.012,2.982,4.042,12.825,2.8
35/51/6,431.373,-1.947,-31.785,45.409,-2.888,2.8
35/51/7,644.96,-3.035,-48.188,68.836,-4.49,2.8
35/51/8,465.073,-2.202,-34.754,49.648,-3.259,2.8
35/51/9,441.002,-2.02,-32.633,46.62,-2.994,2.8
35/51/13,427.173,-1.296,-33.694,47.93,-1.994,2.8
35/51/14,421.13,-2.489,-28.603,41.071,-3.623,2.8
35/84/6,425.073,-1.947,-31.785,-43.589,2.563,2.8
35/84/7,636.455,-3.035,-48.188,-66.089,4.007,2.8
35/84/8,458.773,-2.202,-34.754,-47.664,2.907,2.8
35/84/9,434.702,-2.02,-32.633,-44.753,2.661,2.8
35/84/13,420.873,-1.296,-33.694,-46.412,1.633,2.8
35/84/14,414.83,-2.489,-28.603,-39.019,3.346,2.8
37/50/6,373.198,0.674,9.544,-13.771,0.874,2.8
37/50/7,560.889,0.961,14.302,-20.636,1.247,2.8
37/50/8,403.319,0.706,10.346,-14.927,0.916,2.8
37/50/9,381.804,0.683,9.773,-14.102,0.886,2.8
37/50/13,363.306,1.259,7.471,-10.946,1.684,2.8
37/50/14,370.18,0.075,11.274,-16.102,0.046,2.8
37/83/6,366.898,0.674,9.544,12.952,-1.013,2.8
37/83/7,552.384,0.961,14.302,19.409,-1.445,2.8
37/83/8,397.019,0.706,10.346,14.041,-1.062,2.8
37/83/9,375.504,0.683,9.773,13.263,-1.027,2.8
37/83/13,357.006,1.259,7.471,9.972,-1.841,2.8
37/83/14,363.88,0.075,11.274,15.465,-0.165,2.8
42/48/6,19.454,-9.006,-6.077,8.65,-13.343,2.8
42/48/7,27.673,-14.15,-9.244,13.154,-20.96,2.8
42/48/8,18.916,-10.258,-6.663,9.482,-15.196,2.8
42/48/9,19.3,-9.364,-6.244,8.888,-13.872,2.8
42/48/13,19.757,-7.04,-8.389,11.964,-10.521,2.8
42/48/14,19.381,-10.435,-3.514,4.98,-15.37,2.8
42/81/6,13.154,-9.006,-6.077,-8.365,11.873,2.8
42/81/7,19.168,-14.15,-9.244,-12.73,18.662,2.8
42/81/8,12.616,-10.258,-6.663,-9.174,13.526,2.8
42/81/9,13,-9.364,-6.244,-8.596,12.346,2.8
42/81/13,13.457,-7.04,-8.389,-11.525,9.19,2.8
42/81/14,13.081,-10.435,-3.514,-4.859,13.849,2.8
44/47/6,368.239,-4.466,-20.795,29.962,-6.375,2.8
44/47/7,548.888,-6.824,-31.42,45.265,-9.74,2.8
44/47/8,396.07,-4.975,-22.646,32.626,-7.102,2.8
44/47/9,376.19,-4.611,-21.324,30.723,-6.582,2.8
44/47/13,358.817,-1.651,-21.916,31.429,-2.513,2.8
44/47/14,365.733,-7.063,-18.881,27.354,-9.925,2.8
44/80/6,361.939,-4.466,-20.795,-28.263,6.131,2.8
44/80/7,540.383,-6.824,-31.42,-42.712,9.368,2.8
44/80/8,389.77,-4.975,-22.646,-30.783,6.827,2.8
44/80/9,369.89,-4.611,-21.324,-28.983,6.33,2.8
44/80/13,352.517,-1.651,-21.916,-29.935,2.111,2.8
44/80/14,359.433,-7.063,-18.881,-25.512,9.852,2.8
47/46/6,451.853,-2.073,26.959,-38.569,-3.431,2.8
47/46/7,680.722,-3.116,41.224,-58.968,-5.156,2.8
47/46/8,489.718,-2.229,29.611,-42.358,-3.692,2.8
47/46/9,462.672,-2.118,27.717,-39.652,-3.506,2.8
47/46/13,443.083,-5.41,25.603,-36.732,-8.074,2.8
47/46/14,444.396,1.331,27.178,-38.783,1.324,2.8
47/79/6,445.553,-2.073,26.959,36.915,2.373,2.8
47/79/7,672.217,-3.116,41.224,56.461,3.569,2.8
47/79/8,483.418,-2.229,29.611,40.552,2.549,2.8
47/79/9,456.372,-2.118,27.717,37.955,2.423,2.8
47/79/13,436.783,-5.41,25.603,34.956,7.073,2.8
47/79/14,438.096,1.331,27.178,37.316,-2.402,2.8
50/45/6,12.096,11.731,13.969,-20.256,17.826,2.8
50/45/7,16.038,17.826,21.428,-31.069,27.093,2.8
