Bar/Node/Case,FX (kN),FY (kN),FZ (kN),MX (kNm),MY (kNm),MZ (kNm)
 1/ 77/ 7 (C),0,0,-21.92,-12.96,44.65,0
 1/ 77/ 7 (C),0,0,-21.92,-12.96,44.65,0
 1/ 77/ 7 (C),0,0,-21.92,-12.96,44.65,0
 1/ 77/ 7 (C),0,0,-21.92,-12.96,44.65,0
 1/ 77/ 7 (C),0,0,-21.92,-12.96,44.65,0
 1/ 78/ 7 (C),0,0,-35.32,-12.96,16.23,0
 1/ 77/ 7 (C),0,0,-21.92,-12.96,44.65,0
 1/ 77/ 7 (C),0,0,-21.92,-12.96,44.65,0
 1/ 77/ 7 (C),0,0,-21.92,-12.96,44.65,0
 1/ 78/ 7 (C),0,0,-35.32,-12.96,16.23,0
 1/ 78/ 7 (C),0,0,-35.32,-12.96,16.23,0
 1/ 77/ 7 (C),0,0,-21.92,-12.96,44.65,0
 2/ 98/ 7 (C),0,0,6.17,2.37,28.4,0
 2/ 98/ 7 (C),0,0,6.17,2.37,28.4,0
 2/ 98/ 7 (C),0,0,6.17,2.37,28.4,0
 2/ 98/ 7 (C),0,0,6.17,2.37,28.4,0
 2/ 98/ 7 (C),0,0,6.17,2.37,28.4,0
 2/ 99/ 7 (C),0,0,-45.92,2.37,-32.66,0
 2/ 98/ 7 (C),0,0,6.17,2.37,28.4,0
 2/ 98/ 7 (C),0,0,6.17,2.37,28.4,0
 2/ 98/ 7 (C),0,0,6.17,2.37,28.4,0
 2/ 99/ 7 (C),0,0,-45.92,2.37,-32.66,0
 2/ 99/ 7 (C),0,0,-45.92,2.37,-32.66,0
 2/ 98/ 7 (C),0,0,6.17,2.37,28.4,0
 3/ 92/ 7 (C),0,0,20.13,2.24,-6.28,0
 3/ 92/ 7 (C),0,0,20.13,2.24,-6.28,0
 3/ 92/ 7 (C),0,0,20.13,2.24,-6.28,0
 3/ 92/ 7 (C),0,0,20.13,2.24,-6.28,0
 3/ 92/ 7 (C),0,0,20.13,2.24,-6.28,0
 3/ 99/ 7 (C),0,0,-28,2.24,-20.93,0
 3/ 92/ 7 (C),0,0,20.13,2.24,-6.28,0
 3/ 92/ 7 (C),0,0,20.13,2.24,-6.28,0
 3/ 92/ 7 (C),0,0,20.13,2.24,-6.28,0
 3/ 99/ 7 (C),0,0,-28,2.24,-20.93,0
 3/ 99/ 7 (C),0,0,-28,2.24,-20.93,0
 3/ 92/ 7 (C),0,0,20.13,2.24,-6.28,0
 4/ 66/ 7 (C),273.2,-6.29,11.77,-0.33,-16.29,-8.52
 4/ 99/ 7 (C),262,-6.29,11.77,-0.33,16.66,9.1
 4/ 66/ 7 (C),273.2,-6.29,11.77,-0.33,-16.29,-8.52
 4/ 66/ 7 (C),273.2,-6.29,11.77,-0.33,-16.29,-8.52
 4/ 66/ 7 (C),273.2,-6.29,11.77,-0.33,-16.29,-8.52
 4/ 66/ 7 (C),273.2,-6.29,11.77,-0.33,-16.29,-8.52
 4/ 66/ 7 (C),273.2,-6.29,11.77,-0.33,-16.29,-8.52
 4/ 66/ 7 (C),273.2,-6.29,11.77,-0.33,-16.29,-8.52
 4/ 99/ 7 (C),262,-6.29,11.77,-0.33,16.66,9.1
 4/ 66/ 7 (C),273.2,-6.29,11.77,-0.33,-16.29,-8.52
 4/ 99/ 7 (C),262,-6.29,11.77,-0.33,16.66,9.1
 4/ 66/ 7 (C),273.2,-6.29,11.77,-0.33,-16.29,-8.52
 5/ 97/ 7 (C),0,0,64.06,-10.34,-39.63,0
 5/ 97/ 7 (C),0,0,64.06,-10.34,-39.63,0
 5/ 97/ 7 (C),0,0,64.06,-10.34,-39.63,0
 5/ 97/ 7 (C),0,0,64.06,-10.34,-39.63,0
 5/ 97/ 7 (C),0,0,64.06,-10.34,-39.63,0
 5/ 98/ 7 (C),0,0,41.28,-10.34,31.26,0
 5/ 97/ 7 (C),0,0,64.06,-10.34,-39.63,0
 5/ 97/ 7 (C),0,0,64.06,-10.34,-39.63,0
 5/ 98/ 7 (C),0,0,41.28,-10.34,31.26,0
 5/ 97/ 7 (C),0,0,64.06,-10.34,-39.63,0
 5/ 98/ 7 (C),0,0,41.28,-10.34,31.26,0
 5/ 97/ 7 (C),0,0,64.06,-10.34,-39.63,0
 6/ 91/ 7 (C),0,0,44.6,-2.86,-30.38,0
 6/ 91/ 7 (C),0,0,44.6,-2.86,-30.38,0
 6/ 91/ 7 (C),0,0,44.6,-2.86,-30.38,0
 6/ 91/ 7 (C),0,0,44.6,-2.86,-30.38,0
 6/ 91/ 7 (C),0,0,44.6,-2.86,-30.38,0
 6/ 98/ 7 (C),0,0,-35.11,-2.86,-12.71,0
 6/ 91/ 7 (C),0,0,44.6,-2.86,-30.38,0
 6/ 91/ 7 (C),0,0,44.6,-2.86,-30.38,0
 6/ 98/ 7 (C),0,0,-35.11,-2.86,-12.71,0
 6/ 91/ 7 (C),0,0,44.6,-2.86,-30.38,0
 6/ 98/ 7 (C),0,0,-35.11,-2.86,-12.71,0
 6/ 91/ 7 (C),0,0,44.6,-2.86,-30.38,0
 7/ 96/ 7 (C),0,0,35.14,5,-23.1,0
 7/ 96/ 7 (C),0,0,35.14,5,-23.1,0
 7/ 96/ 7 (C),0,0,35.14,5,-23.1,0
 7/ 96/ 7 (C),0,0,35.14,5,-23.1,0
 7/ 96/ 7 (C),0,0,35.14,5,-23.1,0
 7/ 97/ 7 (C),0,0,-27.81,5,-13.76,0
 7/ 96/ 7 (C),0,0,35.14,5,-23.1,0
 7/ 96/ 7 (C),0,0,35.14,5,-23.1,0
 7/ 97/ 7 (C),0,0,-27.81,5,-13.76,0
 7/ 96/ 7 (C),0,0,35.14,5,-23.1,0
 7/ 97/ 7 (C),0,0,-27.81,5,-13.76,0
 7/ 96/ 7 (C),0,0,35.14,5,-23.1,0
 8/ 64/ 7 (C),431.55,4.1,-10.85,-0.33,15.17,5.63
 8/ 97/ 7 (C),420.35,4.1,-10.85,-0.33,-15.22,-5.86
 8/ 64/ 7 (C),431.55,4.1,-10.85,-0.33,15.17,5.63
 8/ 64/ 7 (C),431.55,4.1,-10.85,-0.33,15.17,5.63
 8/ 64/ 7 (C),431.55,4.1,-10.85,-0.33,15.17,5.63
 8/ 64/ 7 (C),431.55,4.1,-10.85,-0.33,15.17,5.63
 8/ 64/ 7 (C),431.55,4.1,-10.85,-0.33,15.17,5.63
 8/ 64/ 7 (C),431.55,4.1,-10.85,-0.33,15.17,5.63
 8/ 64/ 7 (C),431.55,4.1,-10.85,-0.33,15.17,5.63
 8/ 97/ 7 (C),420.35,4.1,-10.85,-0.33,-15.22,-5.86
 8/ 64/ 7 (C),431.55,4.1,-10.85,-0.33,15.17,5.63
 8/ 97/ 7 (C),420.35,4.1,-10.85,-0.33,-15.22,-5.86
 9/ 95/ 7 (C),0,0,31.64,-3.74,-24.17,0
 9/ 95/ 7 (C),0,0,31.64,-3.74,-24.17,0
 9/ 95/ 7 (C),0,0,31.64,-3.74,-24.17,0
 9/ 95/ 7 (C),0,0,31.64,-3.74,-24.17,0
 9/ 95/ 7 (C),0,0,31.64,-3.74,-24.17,0
 9/ 96/ 7 (C),0,0,-25.78,-3.74,-17.08,0
 9/ 95/ 7 (C),0,0,31.64,-3.74,-24.17,0
 9/ 95/ 7 (C),0,0,31.64,-3.74,-24.17,0
 9/ 96/ 7 (C),0,0,-25.78,-3.74,-17.08,0
 9/ 95/ 7 (C),0,0,31.64,-3.74,-24.17,0
 9/ 95/ 7 (C),0,0,31.64,-3.74,-24.17,0
 9/ 96/ 7 (C),0,0,-25.78,-3.74,-17.08,0
 10/ 90/ 7 (C),0,0,36.36,-1.7,-16.57,0
 10/ 90/ 7 (C),0,0,36.36,-1.7,-16.57,0
 10/ 90/ 7 (C),0,0,36.36,-1.7,-16.57,0
 10/ 90/ 7 (C),0,0,36.36,-1.7,-16.57,0
 10/ 90/ 7 (C),0,0,36.36,-1.7,-16.57,0
 10/ 96/ 7 (C),0,0,-45.4,-1.7,-33.4,0
 10/ 90/ 7 (C),0,0,36.36,-1.7,-16.57,0
 10/ 90/ 7 (C),0,0,36.36,-1.7,-16.57,0
 10/ 90/ 7 (C),0,0,36.36,-1.7,-16.57,0
 10/ 96/ 7 (C),0,0,-45.4,-1.7,-33.4,0
 10/ 90/ 7 (C),0,0,36.36,-1.7,-16.57,0
 10/ 96/ 7 (C),0,0,-45.4,-1.7,-33.4,0
 11/ 63/ 7 (C),351.55,-8.76,-1.6,-0.33,2.24,-12.16
 11/ 96/ 7 (C),340.35,-8.76,-1.6,-0.33,-2.24,12.37
 11/ 63/ 7 (C),351.55,-8.76,-1.6,-0.33,2.24,-12.16
 11/ 63/ 7 (C),351.55,-8.76,-1.6,-0.33,2.24,-12.16
 11/ 63/ 7 (C),351.55,-8.76,-1.6,-0.33,2.24,-12.16
 11/ 63/ 7 (C),351.55,-8.76,-1.6,-0.33,2.24,-12.16
 11/ 63/ 7 (C),351.55,-8.76,-1.6,-0.33,2.24,-12.16
 11/ 63/ 7 (C),351.55,-8.76,-1.6,-0.33,2.24,-12.16
 11/ 63/ 7 (C),351.55,-8.76,-1.6,-0.33,2.24,-12.16
 11/ 96/ 7 (C),340.35,-8.76,-1.6,-0.33,-2.24,12.37
 11/ 96/ 7 (C),340.35,-8.76,-1.6,-0.33,-2.24,12.37
 11/ 63/ 7 (C),351.55,-8.76,-1.6,-0.33,2.24,-12.16
 12/ 94/ 7 (C),0,0,-58.72,18.59,37.84,0
 12/ 94/ 7 (C),0,0,-58.72,18.59,37.84,0
 12/ 94/ 7 (C),0,0,-58.72,18.59,37.84,0
 12/ 94/ 7 (C),0,0,-58.72,18.59,37.84,0
 12/ 94/ 7 (C),0,0,-58.72,18.59,37.84,0
 12/ 95/ 7 (C),0,0,-80.8,18.59,-55.8,0
 12/ 94/ 7 (C),0,0,-58.72,18.59,37.84,0
 12/ 94/ 7 (C),0,0,-58.72,18.59,37.84,0
 12/ 94/ 7 (C),0,0,-58.72,18.59,37.84,0
 12/ 95/ 7 (C),0,0,-80.8,18.59,-55.8,0
 12/ 95/ 7 (C),0,0,-80.8,18.59,-55.8,0
 12/ 94/ 7 (C),0,0,-58.72,18.59,37.84,0
 13/ 62/ 7 (C),508.9,2.94,14.56,-0.33,-20.22,4.14
 13/ 95/ 7 (C),497.7,2.94,14.56,-0.33,20.55,-4.1
 13/ 62/ 7 (C),508.9,2.94,14.56,-0.33,-20.22,4.14
 13/ 62/ 7 (C),508.9,2.94,14.56,-0.33,-20.22,4.14
 13/ 62/ 7 (C),508.9,2.94,14.56,-0.33,-20.22,4.14
 13/ 62/ 7 (C),508.9,2.94,14.56,-0.33,-20.22,4.14
 13/ 62/ 7 (C),508.9,2.94,14.56,-0.33,-20.22,4.14
 13/ 62/ 7 (C),508.9,2.94,14.56,-0.33,-20.22,4.14
 13/ 95/ 7 (C),497.7,2.94,14.56,-0.33,20.55,-4.1
 13/ 62/ 7 (C),508.9,2.94,14.56,-0.33,-20.22,4.14
 13/ 62/ 7 (C),508.9,2.94,14.56,-0.33,-20.22,4.14
 13/ 95/ 7 (C),497.7,2.94,14.56,-0.33,20.55,-4.1
 14/ 93/ 7 (C),0,0,57.98,-4.86,-54.05,0
 14/ 93/ 7 (C),0,0,57.98,-4.86,-54.05,0
 14/ 93/ 7 (C),0,0,57.98,-4.86,-54.05,0
 14/ 93/ 7 (C),0,0,57.98,-4.86,-54.05,0
 14/ 93/ 7 (C),0,0,57.98,-4.86,-54.05,0
 14/ 94/ 7 (C),0,0,-15.62,-4.86,32.64,0
 14/ 93/ 7 (C),0,0,57.98,-4.86,-54.05,0
 14/ 93/ 7 (C),0,0,57.98,-4.86,-54.05,0
 14/ 94/ 7 (C),0,0,-15.62,-4.86,32.64,0
 14/ 93/ 7 (C),0,0,57.98,-4.86,-54.05,0
 14/ 94/ 7 (C),0,0,-15.62,-4.86,32.64,0
 14/ 93/ 7 (C),0,0,57.98,-4.86,-54.05,0
 15/ 89/ 7 (C),0,0,38.65,5.2,-15.17,0
 15/ 89/ 7 (C),0,0,38.65,5.2,-15.17,0
