Bar/Node/Case,FX (kN),FY (kN),FZ (kN),MX (kNm),MY (kNm),MZ (kNm)
 8/ 64/ 6 (C),658.93,6.38,-16.79,-0.51,23.47,8.76
 8/ 64/ 6 (C),658.93,6.38,-16.79,-0.51,23.47,8.76
 8/ 64/ 6 (C),658.93,6.38,-16.79,-0.51,23.47,8.76
 8/ 97/ 6 (C),643.81,6.38,-16.79,-0.51,-23.54,-9.11
 8/ 64/ 6 (C),658.93,6.38,-16.79,-0.51,23.47,8.76
 8/ 97/ 6 (C),643.81,6.38,-16.79,-0.51,-23.54,-9.11
 9/ 95/ 6 (C),0,0,50.49,-5.87,-38.41,0
 9/ 95/ 6 (C),0,0,50.49,-5.87,-38.41,0
 9/ 95/ 6 (C),0,0,50.49,-5.87,-38.41,0
 9/ 95/ 6 (C),0,0,50.49,-5.87,-38.41,0
 9/ 95/ 6 (C),0,0,50.49,-5.87,-38.41,0
 9/ 96/ 6 (C),0,0,-40.66,-5.87,-26.51,0
 9/ 95/ 6 (C),0,0,50.49,-5.87,-38.41,0
 9/ 95/ 6 (C),0,0,50.49,-5.87,-38.41,0
 9/ 96/ 6 (C),0,0,-40.66,-5.87,-26.51,0
 9/ 95/ 6 (C),0,0,50.49,-5.87,-38.41,0
 9/ 95/ 6 (C),0,0,50.49,-5.87,-38.41,0
 9/ 96/ 6 (C),0,0,-40.66,-5.87,-26.51,0
 10/ 90/ 6 (C),0,0,57.82,-2.59,-27.13,0
 10/ 90/ 6 (C),0,0,57.82,-2.59,-27.13,0
 10/ 90/ 6 (C),0,0,57.82,-2.59,-27.13,0
 10/ 90/ 6 (C),0,0,57.82,-2.59,-27.13,0
 10/ 90/ 6 (C),0,0,57.82,-2.59,-27.13,0
 10/ 96/ 6 (C),0,0,-71.39,-2.59,-52.4,0
 10/ 90/ 6 (C),0,0,57.82,-2.59,-27.13,0
 10/ 90/ 6 (C),0,0,57.82,-2.59,-27.13,0
 10/ 90/ 6 (C),0,0,57.82,-2.59,-27.13,0
 10/ 96/ 6 (C),0,0,-71.39,-2.59,-52.4,0
 10/ 90/ 6 (C),0,0,57.82,-2.59,-27.13,0
 10/ 96/ 6 (C),0,0,-71.39,-2.59,-52.4,0
 11/ 63/ 6 (C),538.53,-13.75,-2.52,-0.51,3.53,-19.1
 11/ 96/ 6 (C),523.41,-13.75,-2.52,-0.51,-3.53,19.4
 11/ 63/ 6 (C),538.53,-13.75,-2.52,-0.51,3.53,-19.1
 11/ 63/ 6 (C),538.53,-13.75,-2.52,-0.51,3.53,-19.1
 11/ 63/ 6 (C),538.53,-13.75,-2.52,-0.51,3.53,-19.1
 11/ 63/ 6 (C),538.53,-13.75,-2.52,-0.51,3.53,-19.1
 11/ 63/ 6 (C),538.53,-13.75,-2.52,-0.51,3.53,-19.1
 11/ 63/ 6 (C),538.53,-13.75,-2.52,-0.51,3.53,-19.1
 11/ 63/ 6 (C),538.53,-13.75,-2.52,-0.51,3.53,-19.1
 11/ 96/ 6 (C),523.41,-13.75,-2.52,-0.51,-3.53,19.4
 11/ 96/ 6 (C),523.41,-13.75,-2.52,-0.51,-3.53,19.4
 11/ 63/ 6 (C),538.53,-13.75,-2.52,-0.51,3.53,-19.1
 12/ 94/ 6 (C),0,0,-92.31,28.75,59,0
 12/ 94/ 6 (C),0,0,-92.31,28.75,59,0
 12/ 94/ 6 (C),0,0,-92.31,28.75,59,0
 12/ 94/ 6 (C),0,0,-92.31,28.75,59,0
 12/ 94/ 6 (C),0,0,-92.31,28.75,59,0
 12/ 95/ 6 (C),0,0,-126.7,28.75,-87.94,0
 12/ 94/ 6 (C),0,0,-92.31,28.75,59,0
 12/ 94/ 6 (C),0,0,-92.31,28.75,59,0
 12/ 94/ 6 (C),0,0,-92.31,28.75,59,0
 12/ 95/ 6 (C),0,0,-126.7,28.75,-87.94,0
 12/ 95/ 6 (C),0,0,-126.7,28.75,-87.94,0
 12/ 94/ 6 (C),0,0,-92.31,28.75,59,0
 13/ 62/ 6 (C),778.15,4.59,22.61,-0.51,-31.41,6.46
 13/ 95/ 6 (C),763.03,4.59,22.61,-0.51,31.89,-6.39
 13/ 62/ 6 (C),778.15,4.59,22.61,-0.51,-31.41,6.46
 13/ 62/ 6 (C),778.15,4.59,22.61,-0.51,-31.41,6.46
 13/ 62/ 6 (C),778.15,4.59,22.61,-0.51,-31.41,6.46
 13/ 62/ 6 (C),778.15,4.59,22.61,-0.51,-31.41,6.46
 13/ 62/ 6 (C),778.15,4.59,22.61,-0.51,-31.41,6.46
 13/ 62/ 6 (C),778.15,4.59,22.61,-0.51,-31.41,6.46
 13/ 95/ 6 (C),763.03,4.59,22.61,-0.51,31.89,-6.39
 13/ 62/ 6 (C),778.15,4.59,22.61,-0.51,-31.41,6.46
 13/ 62/ 6 (C),778.15,4.59,22.61,-0.51,-31.41,6.46
 13/ 95/ 6 (C),763.03,4.59,22.61,-0.51,31.89,-6.39
 14/ 93/ 6 (C),0,0,90.93,-7.5,-85.11,0
 14/ 93/ 6 (C),0,0,90.93,-7.5,-85.11,0
 14/ 93/ 6 (C),0,0,90.93,-7.5,-85.11,0
 14/ 93/ 6 (C),0,0,90.93,-7.5,-85.11,0
 14/ 93/ 6 (C),0,0,90.93,-7.5,-85.11,0
 14/ 94/ 6 (C),0,0,-24.89,-7.5,50.82,0
 14/ 93/ 6 (C),0,0,90.93,-7.5,-85.11,0
 14/ 93/ 6 (C),0,0,90.93,-7.5,-85.11,0
 14/ 94/ 6 (C),0,0,-24.89,-7.5,50.82,0
 14/ 93/ 6 (C),0,0,90.93,-7.5,-85.11,0
 14/ 94/ 6 (C),0,0,-24.89,-7.5,50.82,0
 14/ 93/ 6 (C),0,0,90.93,-7.5,-85.11,0
 15/ 89/ 6 (C),0,0,61.78,8.19,-25.75,0
 15/ 89/ 6 (C),0,0,61.78,8.19,-25.75,0
 15/ 89/ 6 (C),0,0,61.78,8.19,-25.75,0
 15/ 89/ 6 (C),0,0,61.78,8.19,-25.75,0
 15/ 89/ 6 (C),0,0,61.78,8.19,-25.75,0
 15/ 94/ 6 (C),0,0,-67.42,8.19,-36.25,0
 15/ 89/ 6 (C),0,0,61.78,8.19,-25.75,0
 15/ 89/ 6 (C),0,0,61.78,8.19,-25.75,0
 15/ 89/ 6 (C),0,0,61.78,8.19,-25.75,0
 15/ 94/ 6 (C),0,0,-67.42,8.19,-36.25,0
 15/ 94/ 6 (C),0,0,-67.42,8.19,-36.25,0
 15/ 89/ 6 (C),0,0,61.78,8.19,-25.75,0
 16/ 88/ 6 (C),0,0,38.29,0.22,-22.95,0
 16/ 88/ 6 (C),0,0,38.29,0.22,-22.95,0
 16/ 88/ 6 (C),0,0,38.29,0.22,-22.95,0
 16/ 88/ 6 (C),0,0,38.29,0.22,-22.95,0
 16/ 88/ 6 (C),0,0,38.29,0.22,-22.95,0
 16/ 93/ 6 (C),0,0,-38.87,0.22,-24.03,0
 16/ 88/ 6 (C),0,0,38.29,0.22,-22.95,0
 16/ 88/ 6 (C),0,0,38.29,0.22,-22.95,0
 16/ 88/ 6 (C),0,0,38.29,0.22,-22.95,0
 16/ 93/ 6 (C),0,0,-38.87,0.22,-24.03,0
 16/ 88/ 6 (C),0,0,38.29,0.22,-22.95,0
 16/ 93/ 6 (C),0,0,-38.87,0.22,-24.03,0
 17/ 60/ 6 (C),476.73,-4.38,-31.55,-0.51,43.34,-6.25
 17/ 93/ 6 (C),461.61,-4.38,-31.55,-0.51,-45,6.03
 17/ 60/ 6 (C),476.73,-4.38,-31.55,-0.51,43.34,-6.25
 17/ 60/ 6 (C),476.73,-4.38,-31.55,-0.51,43.34,-6.25
 17/ 60/ 6 (C),476.73,-4.38,-31.55,-0.51,43.34,-6.25
 17/ 60/ 6 (C),476.73,-4.38,-31.55,-0.51,43.34,-6.25
 17/ 60/ 6 (C),476.73,-4.38,-31.55,-0.51,43.34,-6.25
 17/ 60/ 6 (C),476.73,-4.38,-31.55,-0.51,43.34,-6.25
 17/ 60/ 6 (C),476.73,-4.38,-31.55,-0.51,43.34,-6.25
 17/ 93/ 6 (C),461.61,-4.38,-31.55,-0.51,-45,6.03
 17/ 93/ 6 (C),461.61,-4.38,-31.55,-0.51,-45,6.03
