"Bar/Node/Case,FX (kN),FY (kN),FZ (kN),MY (kNm),MZ (kNm),Length (m)"
" 7/ 97/ 2,-0.00,-0.00,-10.57,-6.50,0.00,2.500"
" 7/ 97/ 3,0.00,0.00,-6.29,-4.01,-0.00,2.500"
" 7/ 97/ 4,-0.00,-0.00,0.13,0.15,0.00,2.500"
" 7/ 97/ 6,-0.00,-0.00,-49.10,-30.50,0.00,2.500"
" 7/ 97/ 7,-0.00,-0.00,-30.22,-18.75,0.00,2.500"
" 8/ 64/ 1,227.78,0.38,-4.79,6.69,0.54,2.800"
" 8/ 64/ 2,115.58,0.09,-2.43,3.41,0.13,2.800"
" 8/ 64/ 3,42.67,0.13,-1.31,1.84,0.18,2.800"
" 8/ 64/ 4,11.69,-0.04,-0.04,0.05,-0.05,2.800"
" 8/ 64/ 6,562.04,0.91,-11.99,17.16,0.63,2.800"
" 8/ 64/ 7,359.52,0.55,-7.57,10.74,0.51,2.800"
" 8/ 97/ 1,223.41,0.38,-4.79,-6.71,-0.54,2.800"
" 8/ 97/ 2,115.58,0.09,-2.43,-3.41,-0.12,2.800"
" 8/ 97/ 3,42.67,0.13,-1.31,-1.83,-0.17,2.800"
" 8/ 97/ 4,11.69,-0.04,-0.04,-0.06,0.05,2.800"
" 8/ 97/ 6,556.14,0.91,-11.99,-17.17,-0.60,2.800"
" 8/ 97/ 7,355.15,0.55,-7.57,-10.75,-0.50,2.800"
" 9/ 95/ 1,-0.00,0.00,21.37,-17.87,0.00,2.350"
" 9/ 95/ 2,-0.00,0.00,12.29,-10.07,0.00,2.350"
" 9/ 95/ 3,0.00,-0.00,7.02,-5.60,-0.00,2.350"
" 9/ 95/ 4,-0.00,0.00,0.00,-0.08,0.00,2.350"
" 9/ 95/ 6,-0.00,-0.00,58.23,-48.32,-0.00,2.350"
" 9/ 95/ 7,-0.00,-0.00,35.93,-29.87,-0.00,2.350"
" 9/ 96/ 1,-0.00,0.00,-8.86,-3.05,-0.00,2.350"
" 9/ 96/ 2,-0.00,0.00,-5.27,-1.74,-0.00,2.350"
" 9/ 96/ 3,0.00,-0.00,-3.02,-0.85,0.00,2.350"
" 9/ 96/ 4,-0.00,0.00,0.00,-0.07,-0.00,2.350"
" 9/ 96/ 6,-0.00,-0.00,-23.99,-7.74,0.00,2.350"
" 9/ 96/ 7,-0.00,-0.00,-14.88,-4.92,0.00,2.350"
" 10/ 90/ 1,0.00,0.00,19.03,-7.95,0.00,3.725"
" 10/ 90/ 2,0.00,0.00,11.04,-5.22,0.00,3.725"
" 10/ 90/ 3,-0.00,0.00,6.38,-3.17,0.00,3.725"
" 10/ 90/ 4,0.00,0.00,-0.04,0.09,0.00,3.725"
" 10/ 90/ 6,0.00,0.00,51.53,-22.64,-0.00,3.725"
" 10/ 90/ 7,0.00,0.00,31.88,-13.88,0.00,3.725"
" 10/ 96/ 1,0.00,0.00,-23.80,-16.83,-0.00,3.725"
" 10/ 96/ 2,0.00,0.00,-13.24,-9.32,-0.00,3.725"
