"Bar/Node/Case,FX (kN),FY (kN),FZ (kN),MY (kNm),MZ (kNm),Length (m)"
" 21/ 21/ 6,1131.30,0.85,-58.05,83.13,0.54,2.80"
" 21/ 21/ 7,731.14,0.54,-36.06,51.64,0.34,2.80"
" 21/ 37/ 6,1116.18,0.85,-58.05,-79.40,-1.85,2.80"
" 21/ 37/ 7,719.94,0.54,-36.06,-49.32,-1.17,2.80"
" 22/ 22/ 6,2091.87,1.92,1.25,-2.93,1.59,2.80"
" 22/ 22/ 7,1333.77,1.21,0.75,-1.79,1.00,2.80"
" 22/ 38/ 6,2076.75,1.92,1.25,0.55,-3.79,2.80"
" 22/ 38/ 7,1322.57,1.21,0.75,0.29,-2.38,2.80"
" 23/ 23/ 6,2091.87,1.92,-1.25,2.93,1.59,2.80"
" 23/ 23/ 7,1333.77,1.21,-0.75,1.79,1.00,2.80"
" 23/ 39/ 6,2076.75,1.92,-1.25,-0.55,-3.79,2.80"
" 23/ 39/ 7,1322.57,1.21,-0.75,-0.29,-2.38,2.80"
" 24/ 24/ 6,1131.30,0.85,58.05,-83.13,0.54,2.80"
" 24/ 24/ 7,731.14,0.54,36.06,-51.64,0.34,2.80"
" 24/ 40/ 6,1116.18,0.85,58.05,79.40,-1.85,2.80"
" 24/ 40/ 7,719.94,0.54,36.06,49.32,-1.17,2.80"
" 25/ 25/ 6,1131.30,-0.85,-58.05,83.13,-0.54,2.80"
" 25/ 25/ 7,731.14,-0.54,-36.06,51.64,-0.34,2.80"
" 25/ 41/ 6,1116.18,-0.85,-58.05,-79.40,1.85,2.80"
" 25/ 41/ 7,719.94,-0.54,-36.06,-49.32,1.17,2.80"
" 26/ 26/ 6,2091.87,-1.92,1.25,-2.93,-1.59,2.80"
" 26/ 26/ 7,1333.77,-1.21,0.75,-1.79,-1.00,2.80"
" 26/ 42/ 6,2076.75,-1.92,1.25,0.55,3.79,2.80"
" 26/ 42/ 7,1322.57,-1.21,0.75,0.29,2.38,2.80"
" 27/ 27/ 6,2091.87,-1.92,-1.25,2.93,-1.59,2.80"
" 27/ 27/ 7,1333.77,-1.21,-0.75,1.79,-1.00,2.80"
" 27/ 43/ 6,2076.75,-1.92,-1.25,-0.55,3.79,2.80"
" 27/ 43/ 7,1322.57,-1.21,-0.75,-0.29,2.38,2.80"
" 28/ 28/ 6,1131.30,-0.85,58.05,-83.13,-0.54,2.80"
