Bar/Node/Case,FX (kN),FY (kN),FZ (kN),MY (kNm),MZ (kNm),Length (m)
 43/ 43/ 6,1555.31,-5.17,1.67,-2.19,-6.85,2.8
 43/ 59/ 6,1540.19,-5.17,1.67,2.49,7.63,2.8
 44/ 44/ 6,842.64,-2.69,56.86,-78.3,-3.57,2.8
 44/ 60/ 6,827.52,-2.69,56.86,80.91,3.97,2.8
 45/ 45/ 6,479.74,-22.55,-33.38,45.86,-30.91,2.8
 45/ 61/ 6,464.62,-22.55,-33.38,-47.59,32.23,2.8
 46/ 46/ 6,882.55,-38.81,-0.83,1.11,-53.26,2.8
 46/ 62/ 6,867.43,-38.81,-0.83,-1.2,55.41,2.8
 47/ 47/ 6,882.55,-38.81,0.83,-1.11,-53.26,2.8
 47/ 63/ 6,867.43,-38.81,0.83,1.2,55.41,2.8
 48/ 48/ 6,479.74,-22.55,33.38,-45.86,-30.91,2.8
 48/ 64/ 6,464.62,-22.55,33.38,47.59,32.23,2.8
 49/ 49/ 6,315.08,22.64,-32.49,46.77,32.32,2.8
 49/ 65/ 6,299.96,22.64,-32.49,-44.2,-31.07,2.8
 50/ 50/ 6,581.1,39.34,-2.2,2.49,55.92,2.8
 50/ 66/ 6,565.98,39.34,-2.2,-3.68,-54.22,2.8
 51/ 51/ 6,581.1,39.34,2.2,-2.49,55.92,2.8
 51/ 67/ 6,565.98,39.34,2.2,3.68,-54.22,2.8
 52/ 52/ 6,315.08,22.64,32.49,-46.77,32.32,2.8
 52/ 68/ 6,299.96,22.64,32.49,44.2,-31.07,2.8
 53/ 53/ 6,553.84,3.98,-55.92,80.05,5.17,2.8
 53/ 69/ 6,538.72,3.98,-55.92,-76.52,-5.96,2.8
 54/ 54/ 6,1023.06,7.35,-3.82,4.5,9.68,2.8
 54/ 70/ 6,1007.94,7.35,-3.82,-6.19,-10.9,2.8
 55/ 55/ 6,1023.06,7.35,3.82,-4.5,9.68,2.8
 55/ 71/ 6,1007.94,7.35,3.82,6.19,-10.9,2.8
