"Bar/Node/Case,FX (kN),FY (kN),FZ (kN),MY (kNm),MZ (kNm),Length (m)"
" 2/ 18/ 39 (C),739.42,-21.35,-41.05,-28.43,-2.27,3.30"
" 2/ 18/ 40 (C),806.61,10.05,0.01,0.03,-22.11,3.30"
" 3/ 3/ 22 (C),845.60,10.36,-0.03,0.03,11.40,3.30"
" 3/ 3/ 23 (C),1329.75,16.81,-0.19,0.21,18.49,3.30"
" 3/ 3/ 24 (C),692.49,-48.66,71.75,-187.00,-145.60,3.30"
" 3/ 3/ 25 (C),951.77,61.92,-53.74,143.01,150.51,3.30"
" 3/ 3/ 26 (C),976.04,61.91,71.75,-187.00,150.51,3.30"
" 3/ 3/ 27 (C),668.22,-48.65,-53.73,143.00,-145.59,3.30"
" 3/ 3/ 28 (C),703.19,-41.81,53.71,-142.98,-128.39,3.30"
" 3/ 3/ 29 (C),962.46,68.76,-71.78,187.03,167.71,3.30"
" 3/ 3/ 30 (C),986.74,68.76,53.71,-142.97,167.71,3.30"
" 3/ 3/ 31 (C),678.91,-41.80,-71.77,187.02,-128.39,3.30"
" 3/ 3/ 32 (C),755.81,-21.35,41.05,-107.02,-72.73,3.30"
" 3/ 3/ 33 (C),893.26,37.69,-31.15,82.84,85.39,3.30"
" 3/ 3/ 34 (C),907.23,37.69,41.04,-107.02,85.39,3.30"
" 3/ 3/ 35 (C),741.85,-21.35,-31.15,82.84,-72.73,3.30"
" 3/ 3/ 36 (C),761.69,-17.59,31.13,-82.81,-63.27,3.30"
" 3/ 3/ 37 (C),899.14,41.46,-41.07,107.05,94.85,3.30"
" 3/ 3/ 38 (C),913.11,41.46,31.12,-82.81,94.85,3.30"
" 3/ 3/ 39 (C),747.73,-17.59,-41.07,107.05,-63.27,3.30"
" 3/ 3/ 40 (C),823.01,10.05,-0.01,0.01,11.05,3.30"
" 3/ 19/ 22 (C),829.21,10.36,-0.03,-0.06,-22.80,3.30"
" 3/ 19/ 23 (C),1307.62,16.81,-0.19,-0.42,-36.98,3.30"
" 3/ 19/ 24 (C),676.10,-48.66,71.75,49.79,14.97,3.30"
" 3/ 19/ 25 (C),935.38,61.92,-53.74,-34.33,-53.81,3.30"
" 3/ 19/ 26 (C),959.65,61.91,71.75,49.77,-53.80,3.30"
" 3/ 19/ 27 (C),651.83,-48.65,-53.73,-34.32,14.96,3.30"
" 3/ 19/ 28 (C),686.79,-41.81,53.71,34.27,9.58,3.30"
" 3/ 19/ 29 (C),946.07,68.76,-71.78,-49.85,-59.20,3.30"
" 3/ 19/ 30 (C),970.34,68.76,53.71,34.26,-59.19,3.30"
" 3/ 19/ 31 (C),662.52,-41.80,-71.77,-49.83,9.57,3.30"
" 3/ 19/ 32 (C),739.42,-21.35,41.05,28.43,-2.27,3.30"
" 3/ 19/ 33 (C),876.87,37.69,-31.15,-19.96,-39.00,3.30"
" 3/ 19/ 34 (C),890.84,37.69,41.04,28.43,-38.99,3.30"
" 3/ 19/ 35 (C),725.45,-21.35,-31.15,-19.96,-2.28,3.30"
" 3/ 19/ 36 (C),745.30,-17.59,31.13,19.90,-5.23,3.30"
" 3/ 19/ 37 (C),882.75,41.46,-41.07,-28.49,-41.96,3.30"
