m71,49.71 49.71 49.71 0.00 0.00 0.00,None,,m71,m71,71,-,-,-1e20   1e20
m72,25.74 25.74 25.74 0.00 0.00 0.00,None,,m72,m72,72,-,-,-1e20   1e20
m73,25.74 25.74 25.74 0.00 0.00 0.00,None,,m73,m73,73,-,-,-1e20   1e20
m74,49.71 49.71 49.71 0.00 0.00 0.00,None,,m74,m74,74,-,-,-1e20   1e20
m75,49.71 49.71 49.71 0.00 0.00 0.00,None,,m75,m75,75,-,-,-1e20   1e20
m76,25.74 25.74 25.74 0.00 0.00 0.00,None,,m76,m76,76,-,-,-1e20   1e20
m77,12.49 12.49 12.49 0.00 0.00 0.00,None,,m77,m77,77,-,-,-1e20   1e20
m78,25.95 25.95 25.95 0.00 0.00 0.00,None,,m78,m78,78,-,-,-1e20   1e20
m79,25.95 25.95 25.95 0.00 0.00 0.00,None,,m79,m79,79,-,-,-1e20   1e20
m80,12.49 12.49 12.49 0.00 0.00 0.00,None,,m80,m80,80,-,-,-1e20   1e20
m81,12.54 12.54 12.54 0.00 0.00 0.00,None,,m81,m81,81,-,-,-1e20   1e20
m82,25.77 25.77 25.77 0.00 0.00 0.00,None,,m82,m82,82,-,-,-1e20   1e20
m83,25.77 25.77 25.77 0.00 0.00 0.00,None,,m83,m83,83,-,-,-1e20   1e20
m84,12.54 12.54 12.54 0.00 0.00 0.00,None,,m84,m84,84,-,-,-1e20   1e20
m85,25.73 25.73 25.73 0.00 0.00 0.00,None,,m85,m85,85,-,-,-1e20   1e20
m86,48.45 48.45 48.45 0.00 0.00 0.00,None,,m86,m86,86,-,-,-1e20   1e20
m87,48.45 48.45 48.45 0.00 0.00 0.00,None,,m87,m87,87,-,-,-1e20   1e20
m88,25.73 25.73 25.73 0.00 0.00 0.00,None,,m88,m88,88,-,-,-1e20   1e20
m89,25.73 25.73 25.73 0.00 0.00 0.00,None,,m89,m89,89,-,-,-1e20   1e20
m90,48.45 48.45 48.45 0.00 0.00 0.00,None,,m90,m90,90,-,-,-1e20   1e20
m91,48.45 48.45 48.45 0.00 0.00 0.00,None,,m91,m91,91,-,-,-1e20   1e20
m92,25.73 25.73 25.73 0.00 0.00 0.00,None,,m92,m92,92,-,-,-1e20   1e20
m93,12.54 12.54 12.54 0.00 0.00 0.00,None,,m93,m93,93,-,-,-1e20   1e20
m94,25.77 25.77 25.77 0.00 0.00 0.00,None,,m94,m94,94,-,-,-1e20   1e20
m95,25.77 25.77 25.77 0.00 0.00 0.00,None,,m95,m95,95,-,-,-1e20   1e20
m96,12.54 12.54 12.54 0.00 0.00 0.00,None,,m96,m96,96,-,-,-1e20   1e20
m97,12.47 12.47 12.47 0.00 0.00 0.00,None,,m97,m97,97,-,-,-1e20   1e20
m98,25.37 25.37 25.37 0.00 0.00 0.00,None,,m98,m98,98,-,-,-1e20   1e20
m99,25.37 25.37 25.37 0.00 0.00 0.00,None,,m99,m99,99,-,-,-1e20   1e20
m100,12.47 12.47 12.47 0.00 0.00 0.00,None,,m100,m100,100,-,-,-1e20   1e20
m101,25.01 25.01 25.01 0.00 0.00 0.00,None,,m101,m101,101,-,-,-1e20   1e20
m102,47.47 47.47 47.47 0.00 0.00 0.00,None,,m102,m102,102,-,-,-1e20   1e20
m103,47.47 47.47 47.47 0.00 0.00 0.00,None,,m103,m103,103,-,-,-1e20   1e20
m104,25.01 25.01 25.01 0.00 0.00 0.00,None,,m104,m104,104,-,-,-1e20   1e20
m105,25.01 25.01 25.01 0.00 0.00 0.00,None,,m105,m105,105,-,-,-1e20   1e20
m106,47.47 47.47 47.47 0.00 0.00 0.00,None,,m106,m106,106,-,-,-1e20   1e20
m107,47.47 47.47 47.47 0.00 0.00 0.00,None,,m107,m107,107,-,-,-1e20   1e20
m108,25.01 25.01 25.01 0.00 0.00 0.00,None,,m108,m108,108,-,-,-1e20   1e20
m109,12.47 12.47 12.47 0.00 0.00 0.00,None,,m109,m109,109,-,-,-1e20   1e20
m110,25.37 25.37 25.37 0.00 0.00 0.00,None,,m110,m110,110,-,-,-1e20   1e20
m111,25.37 25.37 25.37 0.00 0.00 0.00,None,,m111,m111,111,-,-,-1e20   1e20
m112,12.47 12.47 12.47 0.00 0.00 0.00,None,,m112,m112,112,-,-,-1e20   1e20
m113,12.55 12.55 12.55 0.00 0.00 0.00,None,,m113,m113,113,-,-,-1e20   1e20
m114,24.36 24.36 24.36 0.00 0.00 0.00,None,,m114,m114,114,-,-,-1e20   1e20
m115,24.36 24.36 24.36 0.00 0.00 0.00,None,,m115,m115,115,-,-,-1e20   1e20
m116,12.55 12.55 12.55 0.00 0.00 0.00,None,,m116,m116,116,-,-,-1e20   1e20
m117,24.03 24.03 24.03 0.00 0.00 0.00,None,,m117,m117,117,-,-,-1e20   1e20
m118,46.7 46.7 46.7 0.00 0.00 0.00,None,,m118,m118,118,-,-,-1e20   1e20
m119,46.7 46.7 46.7 0.00 0.00 0.00,None,,m119,m119,119,-,-,-1e20   1e20
m120,24.03 24.03 24.03 0.00 0.00 0.00,None,,m120,m120,120,-,-,-1e20   1e20
m121,24.03 24.03 24.03 0.00 0.00 0.00,None,,m121,m121,121,-,-,-1e20   1e20
m122,46.7 46.7 46.7 0.00 0.00 0.00,None,,m122,m122,122,-,-,-1e20   1e20
m123,46.7 46.7 46.7 0.00 0.00 0.00,None,,m123,m123,123,-,-,-1e20   1e20
m124,24.03 24.03 24.03 0.00 0.00 0.00,None,,m124,m124,124,-,-,-1e20   1e20
m125,12.55 12.55 12.55 0.00 0.00 0.00,None,,m125,m125,125,-,-,-1e20   1e20
m126,24.36 24.36 24.36 0.00 0.00 0.00,None,,m126,m126,126,-,-,-1e20   1e20
m127,24.36 24.36 24.36 0.00 0.00 0.00,None,,m127,m127,127,-,-,-1e20   1e20
m128,12.55 12.55 12.55 0.00 0.00 0.00,None,,m128,m128,128,-,-,-1e20   1e20
m129,12.42 12.42 12.42 0.00 0.00 0.00,None,,m129,m129,129,-,-,-1e20   1e20
m130,23.1 23.1 23.1 0.00 0.00 0.00,None,,m130,m130,130,-,-,-1e20   1e20
m131,23.1 23.1 23.1 0.00 0.00 0.00,None,,m131,m131,131,-,-,-1e20   1e20
m132,12.42 12.42 12.42 0.00 0.00 0.00,None,,m132,m132,132,-,-,-1e20   1e20
m133,23.88 23.88 23.88 0.00 0.00 0.00,None,,m133,m133,133,-,-,-1e20   1e20
m134,45.46 45.46 45.46 0.00 0.00 0.00,None,,m134,m134,134,-,-,-1e20   1e20
m135,45.46 45.46 45.46 0.00 0.00 0.00,None,,m135,m135,135,-,-,-1e20   1e20
m136,23.88 23.88 23.88 0.00 0.00 0.00,None,,m136,m136,136,-,-,-1e20   1e20
m137,23.88 23.88 23.88 0.00 0.00 0.00,None,,m137,m137,137,-,-,-1e20   1e20
m138,45.46 45.46 45.46 0.00 0.00 0.00,None,,m138,m138,138,-,-,-1e20   1e20
m139,45.46 45.46 45.46 0.00 0.00 0.00,None,,m139,m139,139,-,-,-1e20   1e20
m140,23.88 23.88 23.88 0.00 0.00 0.00,None,,m140,m140,140,-,-,-1e20   1e20
