"Bar/Node/Case,FX (kN),FY (kN),FZ (kN),MY (kNm),MZ (kNm),Length (m)"
" 5/ 5/ 38 (C),703.75,74.43,56.37,-128.47,136.13,3.30"
" 5/ 5/ 39 (C),1099.81,-99.52,-89.39,169.65,-181.26,3.30"
" 5/ 5/ 40 (C),887.64,-0.38,-13.89,15.27,-0.42,3.30"
" 5/ 21/ 22 (C),896.73,-0.39,-14.30,-31.46,0.86,3.30"
" 5/ 21/ 23 (C),1394.11,-0.61,-23.03,-50.66,1.35,3.30"
" 5/ 21/ 24 (C),563.86,-163.14,150.36,175.61,240.88,3.30"
" 5/ 21/ 25 (C),1151.71,215.32,-166.75,-222.25,-317.53,3.30"
" 5/ 21/ 26 (C),426.94,215.32,150.36,175.61,-317.53,3.30"
" 5/ 21/ 27 (C),1288.63,-163.14,-166.75,-222.25,240.88,3.30"
" 5/ 21/ 28 (C),606.40,-216.08,138.97,161.14,319.20,3.30"
" 5/ 21/ 29 (C),1194.25,162.38,-178.14,-236.73,-239.21,3.30"
" 5/ 21/ 30 (C),469.48,162.38,138.97,161.14,-239.21,3.30"
" 5/ 21/ 31 (C),1331.17,-216.08,-178.14,-236.73,319.20,3.30"
" 5/ 21/ 32 (C),734.18,-75.19,61.61,64.20,111.16,3.30"
" 5/ 21/ 33 (C),1004.38,98.76,-84.15,-118.67,-145.50,3.30"
" 5/ 21/ 34 (C),671.25,98.76,61.61,64.20,-145.50,3.30"
" 5/ 21/ 35 (C),1067.31,-75.19,-84.15,-118.67,111.16,3.30"
" 5/ 21/ 36 (C),753.73,-99.52,56.37,57.55,147.16,3.30"
" 5/ 21/ 37 (C),1023.93,74.43,-89.39,-125.32,-109.50,3.30"
" 5/ 21/ 38 (C),690.80,74.43,56.37,57.55,-109.50,3.30"
" 5/ 21/ 39 (C),1086.86,-99.52,-89.39,-125.32,147.16,3.30"
" 5/ 21/ 40 (C),874.69,-0.38,-13.89,-30.55,0.84,3.30"
" 6/ 6/ 22 (C),1697.75,-0.54,1.29,-1.42,-0.60,3.30"
" 6/ 6/ 23 (C),2672.60,-0.87,2.09,-2.29,-0.96,3.30"
" 6/ 6/ 24 (C),1784.85,-180.99,205.67,-381.42,-329.84,3.30"
" 6/ 6/ 25 (C),1535.08,197.48,-189.10,352.61,360.69,3.30"
" 6/ 6/ 26 (C),1647.94,197.48,205.67,-381.42,360.69,3.30"
