"Bar/Node/Case,FX (kN),FY (kN),FZ (kN),MY (kNm),MZ (kNm),Length (m)"
" 4/ 4/ 35 (C),60.35,-82.04,-72.08,141.90,-150.87,2.80"
" 4/ 4/ 36 (C),507.03,-58.51,93.93,-162.29,-109.56,2.80"
" 4/ 4/ 37 (C),507.92,95.32,-90.91,175.59,163.26,2.80"
" 4/ 4/ 38 (C),931.52,95.32,93.93,-162.29,163.26,2.80"
" 4/ 4/ 39 (C),83.43,-58.51,-90.91,175.59,-109.56,2.80"
" 4/ 20/ 22 (C),493.61,6.81,11.21,20.93,-12.71,2.80"
" 4/ 20/ 23 (C),756.03,10.73,17.76,33.16,-20.03,2.80"
" 4/ 20/ 24 (C),458.88,-186.30,232.49,236.55,186.11,2.80"
" 4/ 20/ 25 (C),460.81,148.37,-169.66,-154.34,-157.40,2.80"
" 4/ 20/ 26 (C),1382.42,148.37,232.49,236.55,-157.40,2.80"
" 4/ 20/ 27 (C),-462.73,-186.30,-169.66,-154.34,186.11,2.80"
" 4/ 20/ 28 (C),509.08,-135.09,191.52,195.14,132.62,2.80"
" 4/ 20/ 29 (C),511.01,199.58,-210.64,-195.76,-210.90,2.80"
" 4/ 20/ 30 (C),1432.62,199.58,191.52,195.14,-210.90,2.80"
" 4/ 20/ 31 (C),-412.53,-135.09,-210.64,-195.76,132.62,2.80"
" 4/ 20/ 32 (C),472.96,-82.04,112.76,119.75,78.85,2.80"
" 4/ 20/ 33 (C),473.85,71.78,-72.08,-59.92,-79.05,2.80"
" 4/ 20/ 34 (C),897.45,71.78,112.76,119.75,-79.05,2.80"
" 4/ 20/ 35 (C),49.36,-82.04,-72.08,-59.92,78.85,2.80"
" 4/ 20/ 36 (C),496.04,-58.51,93.93,100.71,54.26,2.80"
" 4/ 20/ 37 (C),496.93,95.32,-90.91,-78.95,-103.63,2.80"
" 4/ 20/ 38 (C),920.53,95.32,93.93,100.71,-103.63,2.80"
" 4/ 20/ 39 (C),72.44,-58.51,-90.91,-78.95,54.26,2.80"
" 5/ 5/ 22 (C),907.69,-0.53,-18.66,17.42,-0.49,2.80"
" 5/ 5/ 23 (C),1408.90,-0.83,-30.06,28.05,-0.77,2.80"
" 5/ 5/ 24 (C),479.03,-183.22,189.60,-362.70,-290.56,2.80"
