1,1,17
2,2,18
3,3,19
4,4,20
5,5,21
6,6,22
7,7,23
8,8,24
9,9,25
10,10,26
11,11,27
12,12,28
13,13,29
14,14,30
15,15,31
16,16,32
17,17,33
18,18,34
19,19,35
20,20,36
21,21,37
22,22,38
23,23,39
24,24,40
25,25,41
26,26,42
27,27,43
28,28,44
29,29,45
30,30,46
31,31,47
32,32,48
33,33,49
34,34,50
35,35,51
36,36,52
37,37,53
38,38,54
39,39,55
40,40,56
41,41,57
42,42,58
43,43,59
44,44,60
45,45,61
46,46,62
47,47,63
48,48,64
49,49,65
50,50,66
51,51,67
52,52,68
53,53,69
54,54,70
55,55,71
56,56,72
57,57,73
58,58,74
59,59,75
60,60,76
61,61,77
62,62,78
63,63,79
64,64,80
65,65,81
66,66,82
67,67,83
68,68,84
69,69,85
70,70,86
71,71,87
72,72,88
73,73,89
74,74,90
75,75,91
76,76,92
77,77,93
78,78,94
79,79,95
80,80,96
81,17,18
82,18,19
83,19,20
84,21,22
85,22,23
86,23,24
87,25,26
88,26,27
89,27,28
90,29,30
91,30,31
92,31,32
93,33,34
94,34,35
95,35,36
96,37,38
97,38,39
98,39,40
99,41,42
100,42,43
101,43,44
102,45,46
103,46,47
104,47,48
105,49,50
106,50,51
107,51,52
108,53,54
109,54,55
110,55,56
111,57,58
112,58,59
113,59,60
114,61,62
115,62,63
116,63,64
117,65,66
118,66,67
119,67,68
120,69,70
121,70,71
122,71,72
123,73,74
124,74,75
125,75,76
126,77,78
127,78,79
128,79,80
129,81,82
130,82,83
131,83,84
132,85,86
133,86,87
134,87,88
135,89,90
136,90,91
137,91,92
138,93,94
139,94,95
140,95,96
141,17,21
142,18,22
143,19,23
144,20,24
145,21,25
146,22,26
147,23,27
148,24,28
149,25,29
150,26,30
151,27,31
152,28,32
153,33,37
154,34,38
155,35,39
156,36,40
157,37,41
158,38,42
159,39,43
160,40,44
161,41,45
162,42,46
163,43,47
164,44,48
165,49,53
166,50,54
167,51,55
168,52,56
169,53,57
170,54,58
171,55,59
172,56,60
173,57,61
174,58,62
175,59,63
176,60,64
177,65,69
178,66,70
179,67,71
180,68,72
181,69,73
182,70,74
183,71,75
184,72,76
185,73,77
186,74,78
187,75,79
188,76,80
189,81,85
190,82,86
191,83,87
192,84,88
193,85,89
194,86,90
195,87,91
196,88,92
197,89,93
198,90,94
199,91,95
200,92,96
