"Bar/Node/Case,FX (kN),FY (kN),FZ (kN),MY (kNm),MZ (kNm),Length (m)"
" 7/ 64/ 7 (C),605.451,7.087,-19.685,27.333,9.707,2.800"
" 7/ 64/ 8 (C),430.116,5.142,-14.266,19.818,7.054,2.800"
" 7/ 64/ 9 (C),407.551,4.744,-13.220,18.355,6.497,2.800"
" 7/ 64/ 13 (C),390.537,3.044,-11.154,15.528,4.245,2.800"
" 7/ 64/ 14 (C),392.975,5.887,-13.822,19.133,7.969,2.800"
" 7/ 97/ 6 (C),387.325,4.585,-12.802,-18.076,-6.563,2.800"
" 7/ 97/ 7 (C),590.331,7.087,-19.685,-27.784,-10.136,2.800"
" 7/ 97/ 8 (C),418.916,5.142,-14.266,-20.128,-7.344,2.800"
" 7/ 97/ 9 (C),396.351,4.744,-13.220,-18.662,-6.786,2.800"
" 7/ 97/ 13 (C),379.337,3.044,-11.154,-15.704,-4.277,2.800"
" 7/ 97/ 14 (C),381.775,5.887,-13.822,-19.568,-8.513,2.800"
" 8/ 95/ 6 (C),-0.000,0.000,29.778,-20.315,0.000,2.350"
" 8/ 95/ 7 (C),-0.000,0.000,46.639,-31.767,0.000,2.350"
" 8/ 95/ 8 (C),-0.000,0.000,34.004,-23.183,0.000,2.350"
" 8/ 95/ 9 (C),-0.000,0.000,30.986,-21.135,0.000,2.350"
" 8/ 95/ 13 (C),-0.000,-0.000,27.342,-17.866,-0.000,2.350"
" 8/ 95/ 14 (C),-0.000,0.000,30.404,-21.535,0.000,2.350"
" 8/ 96/ 6 (C),-0.000,0.000,-21.766,-10.691,-0.000,2.350"
" 8/ 96/ 7 (C),-0.000,0.000,-33.938,-16.509,-0.000,2.350"
" 8/ 96/ 8 (C),-0.000,0.000,-24.567,-11.852,-0.000,2.350"
" 8/ 96/ 9 (C),-0.000,0.000,-22.567,-11.023,-0.000,2.350"
" 8/ 96/ 13 (C),-0.000,-0.000,-22.698,-12.206,0.000,2.350"
" 8/ 96/ 14 (C),-0.000,0.000,-19.635,-8.678,-0.000,2.350"
" 9/ 90/ 6 (C),0.000,-0.000,30.605,-15.316,-0.000,3.725"
" 9/ 90/ 7 (C),0.000,-0.000,48.085,-24.416,-0.000,3.725"
" 9/ 90/ 8 (C),0.000,-0.000,34.970,-17.799,-0.000,3.725"
" 9/ 90/ 9 (C),0.000,-0.000,31.852,-16.026,-0.000,3.725"
" 9/ 90/ 13 (C),0.000,-0.000,29.643,-14.738,-0.000,3.725"
" 9/ 90/ 14 (C),0.000,0.000,29.697,-14.831,0.000,3.725"
" 9/ 96/ 6 (C),0.000,-0.000,-39.977,-32.772,0.000,3.725"
" 9/ 96/ 7 (C),0.000,-0.000,-62.395,-51.067,0.000,3.725"
" 9/ 96/ 8 (C),0.000,-0.000,-45.326,-37.087,0.000,3.725"
" 9/ 96/ 9 (C),0.000,-0.000,-41.506,-34.005,0.000,3.725"
" 9/ 96/ 13 (C),0.000,-0.000,-38.858,-31.900,0.000,3.725"
" 9/ 96/ 14 (C),0.000,0.000,-38.805,-31.795,-0.000,3.725"
" 10/ 63/ 6 (C),303.759,-10.790,-2.523,3.552,-14.688,2.800"
" 10/ 63/ 7 (C),462.486,-16.797,-3.915,5.512,-22.890,2.800"
" 10/ 63/ 8 (C),329.273,-12.146,-2.832,3.989,-16.590,2.800"
" 10/ 63/ 9 (C),311.049,-11.177,-2.611,3.677,-15.231,2.800"
" 10/ 63/ 13 (C),298.521,-10.511,-0.994,1.474,-14.282,2.800"
" 10/ 63/ 14 (C),298.063,-10.487,-3.919,5.443,-14.278,2.800"
" 10/ 96/ 6 (C),292.559,-10.790,-2.523,-3.512,15.523,2.800"
" 10/ 96/ 7 (C),447.366,-16.797,-3.915,-5.450,24.142,2.800"
" 10/ 96/ 8 (C),318.073,-12.146,-2.832,-3.941,17.420,2.800"
" 10/ 96/ 9 (C),299.849,-11.177,-2.611,-3.635,16.065,2.800"
" 10/ 96/ 13 (C),287.321,-10.511,-0.994,-1.309,15.148,2.800"
" 10/ 96/ 14 (C),286.863,-10.487,-3.919,-5.531,15.085,2.800"
" 11/ 94/ 6 (C),0.000,-0.000,-53.655,26.460,-0.000,1.350"
" 11/ 94/ 7 (C),0.000,-0.000,-83.423,41.092,-0.000,1.350"
" 11/ 94/ 8 (C),-0.000,-0.000,-60.639,29.781,-0.000,1.350"
" 11/ 94/ 9 (C),0.000,-0.000,-55.651,27.409,-0.000,1.350"
" 11/ 94/ 13 (C),0.000,-0.000,-52.410,24.951,-0.000,1.350"
" 11/ 94/ 14 (C),-0.000,0.000,-51.907,26.545,0.000,1.350"
" 11/ 95/ 6 (C),0.000,-0.000,-73.036,-58.521,0.000,1.350"
" 11/ 95/ 7 (C),0.000,-0.000,-113.277,-90.828,0.000,1.350"
" 11/ 95/ 8 (C),-0.000,-0.000,-82.379,-66.138,0.000,1.350"
" 11/ 95/ 9 (C),0.000,-0.000,-75.705,-60.697,0.000,1.350"
" 11/ 95/ 13 (C),0.000,-0.000,-71.285,-58.025,0.000,1.350"
" 11/ 95/ 14 (C),-0.000,0.000,-70.783,-55.752,-0.000,1.350"
" 12/ 62/ 6 (C),465.904,6.070,15.216,-20.981,8.454,2.800"
" 12/ 62/ 7 (C),708.573,9.321,23.459,-32.360,12.984,2.800"
