Bar/Node/Case,FX (kN),FY (kN),FZ (kN),MY (kNm),MZ (kNm),Length (m)
 214/ 157/ 6,95.44,15.02,0.82,0.93,-22.27,2.8
 215/ 155/ 6,0,0,3.21,29.99,0,3.7
 215/ 156/ 6,0,0,-53.92,-63.82,0,3.7
 216/ 123/ 6,145.2,10.18,10.4,-14.01,13.01,2.8
 216/ 156/ 6,139.29,10.18,10.4,15.03,-15.23,2.8
 217/ 154/ 6,0,0,48.91,-40.95,0,3.675
 217/ 155/ 6,0,0,-7.52,35.1,0,3.675
 218/ 122/ 6,63.36,7.72,1.37,-1.28,10.03,2.8
 218/ 155/ 6,57.45,7.72,1.37,2.54,-11.53,2.8
 219/ 121/ 6,81.63,7.5,-27.23,35.11,9.71,2.8
 219/ 154/ 6,75.72,7.5,-27.23,-41.18,-11.25,2.8
 220/ 152/ 6,0,0,-27.13,105.6,0,3.775
 220/ 153/ 6,0,0,-91.49,-118.3,0,3.775
 221/ 145/ 6,0,0,22.06,-6.05,0,3.525
 221/ 153/ 6,0,0,-34.95,-28.77,0,3.525
 222/ 120/ 6,242.43,-9.18,39.25,-55.49,-13.34,2.8
 222/ 153/ 6,236.52,-9.18,39.25,53.71,13.14,2.8
 223/ 151/ 6,0,0,47.02,33.05,0,2.15
 223/ 152/ 6,0,0,23.33,108.68,0,2.15
 224/ 143/ 6,0,0,49.57,-15.23,0,3.525
 224/ 152/ 6,0,0,-46.94,-10.59,0,3.525
 225/ 119/ 6,14.09,-5.94,-1.78,2.96,-8.4,2.8
 225/ 152/ 6,8.19,-5.94,-1.78,-2.04,8.25,2.8
 226/ 150/ 6,0,0,129.52,-155.81,0,1.825
 226/ 151/ 6,0,0,111.64,64.24,0,1.825
 227/ 142/ 6,0,0,33.52,54.51,0,3.525
 227/ 151/ 6,0,0,-64.62,-14.85,0,3.525
 228/ 149/ 6,0,0,20.91,-7.55,0,2
 228/ 150/ 6,0,0,-5.62,3.44,0,2
 229/ 117/ 6,269.62,-1.82,-44.79,61.73,-2.77,2.8
 229/ 150/ 6,263.72,-1.82,-44.79,-64.48,2.75,2.8
 230/ 148/ 6,0,0,-64.1,10.79,0,1.225
 230/ 149/ 6,0,0,-78.98,-74.55,0,1.225
 231/ 116/ 6,251.82,1.06,17.88,-22.02,1.19,2.8
 231/ 149/ 6,243.32,1.06,17.88,27.4,-1.37,2.8
 232/ 147/ 6,0,0,-16.17,61.97,0,2.35
 232/ 148/ 6,0,0,-43.82,-8.52,0,2.35
 233/ 139/ 6,0,0,52.26,-32.02,0,2.7
 233/ 148/ 6,0,0,-20.29,0.42,0,2.7
 234/ 146/ 6,0,0,84.7,-87.57,0,2.675
 234/ 147/ 6,0,0,49.96,92.54,0,2.675
 235/ 134/ 6,0,0,62.61,-41.54,0,4.325
 235/ 147/ 6,0,0,-65.62,-48.03,0,4.325
 236/ 114/ 6,14.91,-14.12,-10.63,14.57,-20.05,2.8
 236/ 147/ 6,9.01,-14.12,-10.63,-15.23,19.5,2.8
 237/ 133/ 6,0,0,36.24,-24.7,0,4.325
 237/ 146/ 6,0,0,-36.47,-25.18,0,4.325
 238/ 113/ 6,230.03,-8.84,-29.76,42.54,-12.62,2.8
 238/ 146/ 6,224.13,-8.84,-29.76,-41.36,12.21,2.8
 239/ 144/ 6,0,0,-18.59,77.96,0,2.775
 239/ 145/ 6,0,0,-100.98,-101.47,0,2.775
 240/ 138/ 6,0,0,-1.02,13.36,0,2.45
 240/ 145/ 6,0,0,-30.77,-25.59,0,2.45
 241/ 112/ 6,295.18,-3.57,33.03,-46.47,-5.51,2.8
 241/ 145/ 6,289.28,-3.57,33.03,45.37,5.44,2.8
 242/ 143/ 6,0,0,-28.78,57.63,0,1
 242/ 144/ 6,0,0,-45.57,20.79,0,1
 243/ 137/ 6,0,0,76,-70.8,0,2.45
 243/ 144/ 6,0,0,28.28,56.94,0,2.45
 244/ 111/ 6,27.53,22.04,15.91,-22.17,31.13,2.8
 244/ 144/ 6,21.62,22.04,15.91,22.33,-30.5,2.8
 245/ 142/ 6,0,0,60.84,-31.36,0,2.15
 245/ 143/ 6,0,0,20.8,59.89,0,2.15
 246/ 140/ 6,0,0,114.65,-70.06,0,1.175
 246/ 142/ 6,0,0,94.36,54.76,0,1.175
 247/ 140/ 6,0,0,-119.62,137.11,0,1.8
 247/ 141/ 6,0,0,-164.29,-123.49,0,1.8
 248/ 136/ 6,0,0,-111.9,75.79,0,1.275
 248/ 141/ 6,0,0,-138.75,-85.08,0,1.275
 249/ 108/ 6,603.65,-12.86,25.7,-35.34,-18.92,2.8
 249/ 141/ 6,595.15,-12.86,25.7,35.42,18.49,2.8
 250/ 139/ 6,0,0,96.61,-86.79,0,3.05
 250/ 140/ 6,0,0,-4.97,74.56,0,3.05
 251/ 135/ 6,0,0,-40.45,43.55,0,1.625
 251/ 139/ 6,0,0,-82.93,-57.53,0,1.625
 252/ 106/ 6,470.43,-0.38,-14.35,19.55,-1.24,2.8
 252/ 139/ 6,464.52,-0.38,-14.35,-21.57,0.45,2.8
 253/ 137/ 6,0,0,3.23,62.67,0,2.775
 253/ 138/ 6,0,0,-70.62,-39.43,0,2.775
 254/ 132/ 6,0,0,6.64,-5.73,0,2
 254/ 138/ 6,0,0,-14.27,-13.36,0,2
 255/ 105/ 6,159.38,-2.15,15.45,-21.59,-3.26,2.8
 255/ 138/ 6,153.48,-2.15,15.45,21.38,3.27,2.8
 256/ 136/ 6,0,0,104.28,-51.65,0,1.35
 256/ 137/ 6,0,0,79.22,74.84,0,1.35
 257/ 130/ 6,0,0,43.51,-19.56,0,2
 257/ 136/ 6,0,0,-7.62,24.87,0,2
 258/ 134/ 6,0,0,-17.09,72.43,0,2.35
 258/ 135/ 6,0,0,-68.72,-34.17,0,2.35
 259/ 128/ 6,0,0,63.35,-42.12,0,1.65
 259/ 135/ 6,0,0,28.27,39.08,0,1.65
 260/ 133/ 6,0,0,94.25,-89.59,0,2.675
 260/ 134/ 6,0,0,31.52,86.17,0,2.675
 261/ 101/ 6,34.63,11.54,-4.78,5.97,16.4,2.8
 261/ 134/ 6,28.73,11.54,-4.78,-7.48,-15.89,2.8
 262/ 126/ 6,0,0,10.35,-15.08,0,1.65
 262/ 133/ 6,0,0,-4.73,-10.44,0,1.65
 263/ 100/ 6,264.58,5.67,-29.11,41.68,7.96,2.8
 263/ 133/ 6,258.67,5.67,-29.11,-40.26,-7.82,2.8
 264/ 99/ 6,211.97,-8.22,13.13,-18.42,-11.88,2.8
 264/ 132/ 6,206.06,-8.22,13.13,18.08,11.8,2.8
 265/ 131/ 6,0,0,10.51,38.86,0,2.775
 265/ 132/ 6,0,0,-60.69,-40.5,0,2.775
 266/ 125/ 6,0,0,24.34,-6.3,0,3.725
 266/ 132/ 6,0,0,-35.31,-26.74,0,3.725
 267/ 130/ 6,0,0,90.01,-57.87,0,1.35
 267/ 131/ 6,0,0,59.61,42.76,0,1.35
 268/ 124/ 6,0,0,62.59,-41.23,0,3.725
 268/ 131/ 6,0,0,-49.1,-16.1,0,3.725
 269/ 97/ 6,371.68,0.8,-11.94,16.99,0.68,2.8
 269/ 130/ 6,365.77,0.8,-11.94,-16.92,-0.7,2.8
 270/ 129/ 6,0,0,44.15,-24.77,0,2.5
 270/ 130/ 6,0,0,-46.38,-27.26,0,2.5
 271/ 96/ 6,255.59,-11.59,-3.52,5.19,-16.59,2.8
 271/ 129/ 6,249.68,-11.59,-3.52,-5.01,16.32,2.8
 272/ 128/ 6,0,0,53.49,-40.9,0,2.35
 272/ 129/ 6,0,0,-28.73,-11.46,0,2.35
 273/ 123/ 6,0,0,51.54,-23.39,0,3.725
 273/ 129/ 6,0,0,-63.53,-45.72,0,3.725
 274/ 95/ 6,487.87,5.64,20.54,-29.39,7.92,2.8
 274/ 128/ 6,479.36,5.64,20.54,27.49,-7.2,2.8
 275/ 127/ 6,0,0,-86.57,45.92,0,1.35
 275/ 128/ 6,0,0,-115.48,-89.58,0,1.35
 276/ 126/ 6,0,0,74.49,-63.24,0,3.675
 276/ 127/ 6,0,0,-26.45,39.63,0,3.675
 277/ 122/ 6,0,0,54.94,-18.28,0,3.725
 277/ 127/ 6,0,0,-60.12,-27.93,0,3.725
 278/ 93/ 6,232.67,-4.16,-22.22,31.86,-5.96,2.8
 278/ 126/ 6,226.77,-4.16,-22.22,-30.65,5.76,2.8
 279/ 121/ 6,0,0,30.54,-17.16,0,3.725
 279/ 126/ 6,0,0,-32.48,-20.76,0,3.725
 280/ 92/ 6,91.72,3.08,3.63,-5.07,4.22,2.8
 280/ 125/ 6,85.81,3.08,3.63,5.04,-4.11,2.8
 281/ 124/ 6,0,0,18.69,-8.8,0,2.775
 281/ 125/ 6,0,0,-18.39,-8.38,0,2.775
 282/ 91/ 6,214.5,12.56,0.9,-1.12,17.47,2.8
 282/ 124/ 6,208.59,12.56,0.9,1.27,-17.13,2.8
 283/ 123/ 6,0,0,40.92,-44.05,0,3.85
 283/ 124/ 6,0,0,-25.98,-15.28,0,3.85
 284/ 90/ 6,304.33,8.26,9.02,-12.52,11.49,2.8
 284/ 123/ 6,298.43,8.26,9.02,12.56,-11.08,2.8
 285/ 122/ 6,0,0,1.49,36.18,0,3.7
 285/ 123/ 6,0,0,-60.77,-73.49,0,3.7
 286/ 89/ 6,127.37,6.29,0.51,-1,8.86,2.8
 286/ 122/ 6,121.46,6.29,0.51,0.36,-8.62,2.8
 287/ 121/ 6,0,0,59.82,-66.02,0,3.675
 287/ 122/ 6,0,0,-1.68,40.83,0,3.675
 288/ 88/ 6,177.9,5.9,-22.07,31.52,8.35,2.8
 288/ 121/ 6,172,5.9,-22.07,-30.37,-8.12,2.8
 289/ 87/ 6,373.52,-9.1,40.75,-56.39,-13.22,2.8
 289/ 120/ 6,367.61,-9.1,40.75,56.56,13.46,2.8
 290/ 119/ 6,0,0,-26.69,107.56,0,3.775
 290/ 120/ 6,0,0,-91.04,-114.65,0,3.775
 291/ 112/ 6,0,0,22.86,-7.32,0,3.525
 291/ 120/ 6,0,0,-34.14,-27.2,0,3.525
 292/ 86/ 6,13.05,-5.37,-2.92,4.05,-7.15,2.8
 292/ 119/ 6,7.14,-5.37,-2.92,-4.17,7.91,2.8
 293/ 118/ 6,0,0,50.7,28.93,0,2.15
 293/ 119/ 6,0,0,27.02,112.48,0,2.15
 294/ 110/ 6,0,0,49.76,-14.96,0,3.525
 294/ 119/ 6,0,0,-46.75,-9.67,0,3.525
 295/ 117/ 6,0,0,133.22,-166.95,0,1.825
 295/ 118/ 6,0,0,115.34,59.86,0,1.825
 296/ 109/ 6,0,0,33.51,54.78,0,3.525
 296/ 118/ 6,0,0,-64.64,-14.64,0,3.525
 297/ 84/ 6,417.14,-1.93,-42.05,59.66,-3.11,2.8
 297/ 117/ 6,411.23,-1.93,-42.05,-59.35,2.96,2.8
 298/ 116/ 6,0,0,20.85,-5.49,0,2
 298/ 117/ 6,0,0,-8.38,2.67,0,2
 299/ 83/ 6,379.3,0.5,12.83,-18.02,0.21,2.8
 299/ 116/ 6,370.8,0.5,12.83,16.91,-0.58,2.8
 300/ 115/ 6,0,0,-66.34,3.27,0,1.225
 300/ 116/ 6,0,0,-81.21,-84.8,0,1.225
 301/ 114/ 6,0,0,-20.57,66.39,0,2.35
 301/ 115/ 6,0,0,-48.22,-14.44,0,2.35
 302/ 106/ 6,0,0,54.43,-36.5,0,2.7
 302/ 115/ 6,0,0,-18.12,1.79,0,2.7
 303/ 81/ 6,14.89,-13.88,-10.37,14.63,-19.07,2.8
 303/ 114/ 6,8.98,-13.88,-10.37,-14.45,19.8,2.8
 304/ 113/ 6,0,0,85.59,-86.08,0,2.675
 304/ 114/ 6,0,0,50.86,96.43,0,2.675
 305/ 101/ 6,0,0,62.72,-40.84,0,4.325
 305/ 114/ 6,0,0,-65.5,-46.84,0,4.325
 306/ 80/ 6,357.55,-8.84,-31.13,44.08,-12.28,2.8
 306/ 113/ 6,351.64,-8.84,-31.13,-44.03,12.56,2.8
 307/ 100/ 6,0,0,36.69,-25.16,0,4.325
 307/ 113/ 6,0,0,-36.02,-23.72,0,4.325
 308/ 79/ 6,457.77,-3.6,34.49,-47.96,-5.78,2.8
 308/ 112/ 6,451.87,-3.6,34.49,47.55,5.77,2.8
 309/ 112/ 6,0,0,101.07,-99.79,0,2.775
 309/ 111/ 6,0,0,18.69,79.9,0,2.775
 310/ 112/ 6,0,0,32.75,-27.89,0,2.45
 310/ 105/ 6,0,0,3.01,15.91,0,2.45
 311/ 78/ 6,30.22,22.52,15.1,-20.91,31.44,2.8
 311/ 111/ 6,24.32,22.52,15.1,21.3,-31.54,2.8
 312/ 111/ 6,0,0,44.32,24.01,0,1
 312/ 110/ 6,0,0,27.53,59.6,0,1
 313/ 104/ 6,0,0,76.56,-72.1,0,2.45
 313/ 111/ 6,0,0,28.84,57.02,0,2.45
 314/ 110/ 6,0,0,-22.23,61.81,0,2.15
 314/ 109/ 6,0,0,-62.28,-32.53,0,2.15
 315/ 109/ 6,0,0,-95.78,54.77,0,1.175
 315/ 107/ 6,0,0,-116.07,-71.72,0,1.175
 316/ 75/ 6,919.54,-13.59,25.49,-34.8,-20.3,2.8
 316/ 108/ 6,911.03,-13.59,25.49,34.66,19.92,2.8
 317/ 107/ 6,0,0,-116.98,137.59,0,1.8
 317/ 108/ 6,0,0,-161.65,-118.26,0,1.8
 318/ 103/ 6,0,0,-113,77.33,0,1.275
 318/ 108/ 6,0,0,-139.84,-84.94,0,1.275
 319/ 106/ 6,0,0,100.67,-99.61,0,3.05
 319/ 107/ 6,0,0,-0.91,74.12,0,3.05
 320/ 73/ 6,727.41,-1.23,-11.75,17.1,-2.25,2.8
 320/ 106/ 6,721.5,-1.23,-11.75,-17.31,2.16,2.8
 321/ 102/ 6,0,0,-51.3,54.96,0,1.625
 321/ 106/ 6,0,0,-95.97,-65.53,0,1.625
 322/ 99/ 6,0,0,8.62,-7.89,0,2
 322/ 105/ 6,0,0,-12.28,-11.55,0,2
 323/ 72/ 6,244.2,-2.74,15.55,-21.56,-4.48,2.8
 323/ 105/ 6,238.3,-2.74,15.55,21.53,3.97,2.8
 324/ 104/ 6,0,0,4.2,62.95,0,2.775
 324/ 105/ 6,0,0,-69.64,-36.44,0,2.775
 325/ 103/ 6,0,0,105.81,-53.2,0,1.35
 325/ 104/ 6,0,0,80.76,75.37,0,1.35
 326/ 97/ 6,0,0,43.95,-19.86,0,2
 326/ 103/ 6,0,0,-7.18,25.46,0,2
 327/ 95/ 6,0,0,72.63,-44.87,0,1.65
 327/ 102/ 6,0,0,35.32,49.8,0,1.65
 328/ 101/ 6,0,0,-34.99,84.85,0,2.35
 328/ 102/ 6,0,0,-86.62,-63.81,0,2.35
 329/ 68/ 6,33.73,11.4,-3.32,4.65,15.59,2.8
 329/ 101/ 6,27.82,11.4,-3.32,-4.68,-16.29,2.8
 330/ 100/ 6,0,0,97.28,-89.36,0,2.675
 330/ 101/ 6,0,0,34.54,94.49,0,2.675
 331/ 100/ 6,0,0,5.89,-12.21,0,1.65
 331/ 93/ 6,0,0,-9.19,-14.93,0,1.65
 332/ 67/ 6,410.34,5.66,-30.67,43.31,7.75,2.8
 332/ 100/ 6,404.43,5.66,-30.67,-43.27,-7.97,2.8
 333/ 16/ 6,612.51,-4.39,-15.27,17.65,-4.58,3.05
 333/ 47/ 6,606.08,-4.39,-15.27,-29.71,8.78,3.05
 334/ 11/ 6,713.48,3.13,-15.73,17.87,3.37,3.05
 334/ 33/ 6,707.04,3.13,-15.73,-30.79,-6.19,3.05
 335/ 1/ 6,493.3,3.17,-17,18.47,3.37,3.05
 335/ 20/ 6,486.87,3.17,-17,-33.65,-6.31,3.05
 336/ 6/ 6,601.23,-2.29,-11.73,13.37,-2.36,3.05
 336/ 26/ 6,594.8,-2.29,-11.73,-22.9,4.6,3.05
 337/ 5/ 6,229.49,3.07,0.3,0.33,2.05,3.05
 337/ 25/ 6,223.05,3.07,0.3,1.1,-7.1,3.05
 338/ 10/ 6,489.28,-5.02,5.41,-4.69,-6.43,3.05
 338/ 32/ 6,482.85,-5.02,5.41,11.41,9.38,3.05
 340/ 15/ 6,822.35,-1.63,17.2,-16.94,-2.98,3.05
 340/ 46/ 6,815.91,-1.63,17.2,34.55,2.82,3.05
 341/ 19/ 6,631.32,-2.62,20.93,-20.4,-3.96,3.05
 341/ 54/ 6,624.89,-2.62,20.93,42.53,4.65,3.05
 342/ 18/ 6,734.26,-0.47,-20.5,23.54,-1.02,3.05
 342/ 51/ 6,727.83,-0.47,-20.5,-40.03,0.74,3.05
 343/ 14/ 6,1592.9,-4.89,13.02,-11.13,-6.96,3.05
 343/ 42/ 6,1583.63,-4.89,13.02,26.87,9.05,3.05
 344/ 12/ 6,428.52,5.79,4.36,-3.44,4.87,3.05
 344/ 36/ 6,422.09,5.68,4.36,9.45,-12.21,3.05
