Bar/Node/Case,FX (kN),FY (kN),FZ (kN),MY (kNm),MZ (kNm),Length (m)
 49/ 71/ 6,0,0,80.69,-76.07,0,2.45
 49/ 78/ 6,0,0,32.97,63.17,0,2.45
 50/ 45/ 6,18.72,28.72,15.8,-22.72,43.07,2.8
 50/ 78/ 6,12.81,28.72,15.8,21.49,-37.3,2.8
 51/ 76/ 6,0,0,67.99,-40.57,0,2.15
 51/ 77/ 6,0,0,27.95,66.08,0,2.15
 52/ 74/ 6,0,0,121.94,-69.3,0,1.175
 52/ 76/ 6,0,0,101.05,63.73,0,1.175
 53/ 74/ 6,0,0,-124.26,147.37,0,1.8
 53/ 75/ 6,0,0,-168.93,-121.58,0,1.8
 54/ 70/ 6,0,0,-116.97,80.19,0,1.275
 54/ 75/ 6,0,0,-143.81,-87.14,0,1.275
 55/ 42/ 6,1246.67,-15.46,27.71,-38.44,-23.98,2.8
 55/ 75/ 6,1238.17,-15.46,27.71,36.49,22.19,2.8
 56/ 73/ 6,0,0,99.26,-99.72,0,3.05
 56/ 74/ 6,0,0,-2.32,69.7,0,3.05
 57/ 69/ 6,0,0,-56.47,57.48,0,1.625
 57/ 73/ 6,0,0,-101.14,-71.42,0,1.625
 58/ 40/ 6,991.61,-0.5,-12.1,18.3,-1.11,2.8
 58/ 73/ 6,985.7,-0.5,-12.1,-17.68,1.52,2.8
 59/ 71/ 6,0,0,4.03,64.86,0,2.775
 59/ 72/ 6,0,0,-69.81,-35,0,2.775
 60/ 66/ 6,0,0,11.31,-8.68,0,2
 60/ 72/ 6,0,0,-9.6,-6.97,0,2
 61/ 39/ 6,325.09,4.77,14.34,-19.27,9.73,2.8
 61/ 72/ 6,319.18,4.77,14.34,20.29,-2.59,2.8
 62/ 70/ 6,0,0,109.78,-56.4,0,1.35
 62/ 71/ 6,0,0,84.72,77.52,0,1.35
 63/ 64/ 6,0,0,43.94,-19.25,0,2
 63/ 70/ 6,0,0,-7.19,26.05,0,2
 64/ 68/ 6,0,0,-40.82,93.32,0,2.35
 64/ 69/ 6,0,0,-92.45,-69.05,0,2.35
 65/ 62/ 6,0,0,73.29,-43.26,0,1.65
 65/ 69/ 6,0,0,35.98,52.5,0,1.65
 66/ 67/ 6,0,0,101.97,-95.54,0,2.675
 66/ 68/ 6,0,0,39.24,100.86,0,2.675
 67/ 34/ 6,22.31,14.84,-2.57,3.23,22.59,2.8
 67/ 68/ 6,16.4,14.84,-2.57,-4.02,-18.95,2.8
 68/ 60/ 6,0,0,8.82,-14.25,0,1.65
 68/ 67/ 6,0,0,-6.26,-12.14,0,1.65
 69/ 33/ 6,561.24,6.29,-34.22,49.98,9.02,2.8
 69/ 67/ 6,555.34,6.29,-34.22,-46.82,-8.51,2.8
 70/ 65/ 6,0,0,11.81,38.35,0,2.775
 70/ 66/ 6,0,0,-59.38,-37.39,0,2.775
 71/ 59/ 6,0,0,22.71,-3.93,0,3.725
 71/ 66/ 6,0,0,-36.94,-30.44,0,3.725
 72/ 32/ 6,435.83,-11.39,13.04,-18,-18.55,2.8
 72/ 66/ 6,429.92,-11.39,13.04,17.91,14.73,2.8
 73/ 64/ 6,0,0,92.13,-61.29,0,1.35
 73/ 65/ 6,0,0,61.73,42.2,0,1.35
 74/ 58/ 6,0,0,61.77,-39.29,0,3.725
 74/ 65/ 6,0,0,-49.91,-17.21,0,3.725
 75/ 63/ 6,0,0,39.67,-19.33,0,2.5
 75/ 64/ 6,0,0,-50.87,-33.03,0,2.5
 76/ 30/ 6,754.89,0.36,-11.91,17.22,-0.75,2.8
 76/ 64/ 6,748.99,0.36,-11.91,-17.21,-0.01,2.8
 77/ 62/ 6,0,0,60.44,-50.12,0,2.35
 77/ 63/ 6,0,0,-21.78,-4.36,0,2.35
 78/ 57/ 6,0,0,51.7,-23.32,0,3.725
 78/ 63/ 6,0,0,-63.37,-45.07,0,3.725
 79/ 29/ 6,521.18,-12.45,-4.32,6.86,-18.53,2.8
 79/ 63/ 6,515.27,-12.45,-4.32,-5.97,17.25,2.8
 80/ 61/ 6,0,0,-88.09,47.57,0,1.35
 80/ 62/ 6,0,0,-117.01,-89.99,0,1.35
 81/ 28/ 6,1002.8,3.45,24.44,-34.97,2.53,2.8
 81/ 62/ 6,994.29,3.45,24.44,32.05,-5.86,2.8
 82/ 60/ 6,0,0,73.9,-60.88,0,3.675
 82/ 61/ 6,0,0,-27.04,39.83,0,3.675
 83/ 56/ 6,0,0,54,-15.95,0,3.725
 83/ 61/ 6,0,0,-61.05,-29.08,0,3.725
 84/ 55/ 6,0,0,30.35,-16.48,0,3.725
 84/ 60/ 6,0,0,-32.68,-20.82,0,3.725
 85/ 26/ 6,475.85,-5.08,-24.89,36.47,-7.59,2.8
 85/ 60/ 6,469.94,-5.08,-24.89,-33.88,6.7,2.8
 86/ 58/ 6,0,0,19.72,-9.07,0,2.775
 86/ 59/ 6,0,0,-17.36,-5.79,0,2.775
 87/ 25/ 6,184.7,2.96,2.67,-3.31,4.09,2.8
 87/ 59/ 6,178.79,2.96,2.67,4.07,-3.6,2.8
 88/ 57/ 6,0,0,43.32,-51.28,0,3.85
 88/ 58/ 6,0,0,-23.57,-13.25,0,3.85
 89/ 24/ 6,438.98,13.09,1.34,-2.69,18.02,2.8
 89/ 58/ 6,433.07,13.09,1.34,0.82,-17.49,2.8
 90/ 56/ 6,0,0,-0.95,44.56,0,3.7
 90/ 57/ 6,0,0,-63.21,-74.14,0,3.7
 91/ 23/ 6,627.5,9.26,-2.31,9.96,12.65,2.8
 91/ 57/ 6,621.59,9.26,-2.31,3.12,-12.18,2.8
 92/ 55/ 6,0,0,58.23,-65.81,0,3.675
 92/ 56/ 6,0,0,-3.27,35.17,0,3.675
 93/ 21/ 6,254.09,5.17,24.16,-46.73,6.54,2.8
 93/ 56/ 6,248.18,5.17,24.16,20.76,-7.7,2.8
 94/ 20/ 6,367.7,6.52,-29.45,45.86,9.28,2.8
 94/ 55/ 6,361.79,6.52,-29.45,-36.83,-8.9,2.8
 95/ 53/ 6,0,0,-25.81,110.34,0,3.775
 95/ 54/ 6,0,0,-90.17,-108.57,0,3.775
 96/ 46/ 6,0,0,28.55,-19.13,0,3.525
 96/ 54/ 6,0,0,-28.46,-18.97,0,3.525
 97/ 52/ 6,0,0,52.73,24.61,0,2.15
 97/ 53/ 6,0,0,29.05,112.52,0,2.15
 98/ 44/ 6,0,0,49.08,-10.66,0,3.525
 98/ 53/ 6,0,0,-47.44,-7.77,0,3.525
 99/ 51/ 6,0,0,139.88,-162.97,0,1.825
 99/ 52/ 6,0,0,122,76,0,1.825
 100/ 43/ 6,0,0,33.34,74.02,0,3.525
 100/ 52/ 6,0,0,-69.27,-3.86,0,3.525
 101/ 50/ 6,0,0,15.4,0.36,0,2
 101/ 51/ 6,0,0,-13.83,-2.36,0,2
 102/ 49/ 6,0,0,-61.63,-3.76,0,1.225
 102/ 50/ 6,0,0,-76.51,-86.08,0,1.225
 103/ 17/ 6,618.4,1.13,5.92,-3.11,0.18,3.05
 103/ 50/ 6,609.14,1.13,5.92,14.16,-3.01,3.05
 104/ 48/ 6,0,0,-26.55,77.32,0,2.35
 104/ 49/ 6,0,0,-54.2,-17.57,0,2.35
 105/ 40/ 6,0,0,64.43,-53.54,0,2.7
 105/ 49/ 6,0,0,-7.43,12.68,0,2.7
 106/ 47/ 6,0,0,82.84,-79.28,0,2.675
 106/ 48/ 6,0,0,48.11,95.86,0,2.675
 107/ 34/ 6,0,0,63.24,-36.39,0,4.325
 107/ 48/ 6,0,0,-64.99,-40.17,0,4.325
 108/ 33/ 6,0,0,38,-26.75,0,4.325
 108/ 47/ 6,0,0,-34.71,-19.65,0,4.325
 109/ 45/ 6,0,0,-18.66,82.94,0,2.775
 109/ 46/ 6,0,0,-101.04,-96.67,0,2.775
 110/ 39/ 6,0,0,-30.12,63.2,0,2.45
 110/ 46/ 6,0,0,-59.86,-47.02,0,2.45
 111/ 44/ 6,0,0,-13.3,68.04,0,1
 111/ 45/ 6,0,0,-30.09,46.68,0,1
 112/ 38/ 6,0,0,77.87,-80.83,0,2.45
 112/ 45/ 6,0,0,30.15,51.49,0,2.45
 113/ 43/ 6,0,0,75.82,-51.64,0,2.15
 113/ 44/ 6,0,0,35.78,71.82,0,2.15
 114/ 41/ 6,0,0,130.93,-72.72,0,1.175
 114/ 43/ 6,0,0,109.16,70.36,0,1.175
 115/ 41/ 6,0,0,-136.76,166.58,0,1.8
 115/ 42/ 6,0,0,-181.42,-124.87,0,1.8
 116/ 37/ 6,0,0,-122.15,93.3,0,1.275
 116/ 42/ 6,0,0,-149.64,-81.05,0,1.275
 117/ 40/ 6,0,0,95.76,-95.2,0,3.05
 117/ 41/ 6,0,0,-5.82,63.54,0,3.05
 118/ 35/ 6,0,0,-60.63,57.67,0,1.625
 118/ 40/ 6,0,0,-105.3,-77.99,0,1.625
 119/ 13/ 6,1263.53,0.68,-5.04,6.97,0.31,3.05
 119/ 40/ 6,1257.1,0.68,-5.04,-9.75,-1.36,3.05
 120/ 38/ 6,0,0,11.94,64.47,0,2.775
