0.260,0.639,0.542,0.453,0.391,0.356,0.372,0.425,0.556,0.713,0.888,1.074,1.268
0.265,0.652,0.555,0.465,0.403,0.368,0.385,0.439,0.570,0.727,0.902,1.087,1.281
0.270,0.664,0.568,0.478,0.416,0.381,0.397,0.453,0.585,0.741,0.915,1.100,1.294
0.275,0.677,0.581,0.491,0.428,0.393,0.410,0.466,0.599,0.755,0.929,1.114,1.306
0.280,0.689,0.593,0.503,0.441,0.406,0.424,0.480,0.612,0.769,0.943,1.127,1.319
0.285,0.702,0.606,0.516,0.453,0.418,0.436,0.493,0.627,0.784,0.956,1.140,1.332
0.290,0.715,0.618,0.528,0.466,0.431,0.449,0.506,0.641,0.797,0.970,1.154,1.345
0.295,0.727,0.631,0.541,0.478,0.443,0.462,0.520,0.655,0.812,0.984,1.167,1.358
0.300,0.740,0.643,0.553,0.491,0.456,0.475,0.534,0.669,0.825,0.998,1.181,1.371
0.305,0.752,0.656,0.565,0.503,0.468,0.488,0.547,0.683,0.840,1.011,1.194,1.384
0.310,0.765,0.668,0.578,0.516,0.481,0.501,0.560,0.697,0.854,1.026,1.208,1.397
0.315,0.777,0.681,0.590,0.528,0.493,0.513,0.574,0.711,0.868,1.039,1.221,1.410
0.320,0.790,0.693,0.603,0.541,0.506,0.526,0.587,0.725,0.882,1.053,1.234,1.423
0.325,0.802,0.706,0.616,0.553,0.518,0.539,0.600,0.739,0.896,1.067,1.248,1.437
0.330,0.815,0.719,0.628,0.566,0.531,0.552,0.614,0.752,0.910,1.080,1.262,1.450
0.335,0.827,0.731,0.641,0.578,0.543,0.565,0.627,0.766,0.924,1.094,1.275,1.463
0.340,0.840,0.744,0.653,0.591,0.556,0.578,0.640,0.780,0.937,1.108,1.288,1.476
0.345,0.853,0.756,0.666,0.603,0.568,0.590,0.653,0.794,0.951,1.122,1.302,1.489
0.350,0.865,0.769,0.678,0.616,0.581,0.603,0.667,0.807,0.965,1.135,1.315,1.503
0.355,0.878,0.782,0.691,0.628,0.593,0.616,0.680,0.821,0.979,1.149,1.329,1.516
0.360,0.890,0.794,0.703,0.641,0.606,0.629,0.693,0.835,0.993,1.163,1.342,1.529
0.365,0.903,0.807,0.716,0.653,0.618,0.641,0.706,0.849,1.007,1.177,1.356,1.543
0.370,0.915,0.819,0.728,0.666,0.631,0.654,0.719,0.863,1.020,1.190,1.370,1.556
0.375,0.928,0.832,0.741,0.678,0.643,0.667,0.732,0.876,1.034,1.204,1.383,1.569
0.380,0.941,0.844,0.753,0.691,0.656,0.680,0.746,0.890,1.048,1.218,1.397,1.582
0.385,0.953,0.857,0.766,0.703,0.668,0.692,0.759,0.903,1.061,1.232,1.410,1.596
0.390,0.966,0.869,0.779,0.716,0.681,0.705,0.772,0.917,1.075,1.245,1.424,1.609
0.395,0.978,0.882,0.791,0.728,0.693,0.718,0.785,0.930,1.089,1.259,1.437,1.622
